chr	start	end	baseMean	log2FoldChange	pvalue	padj
chr12	30981993	30984487	527.3	-2.3	7.872e-34	6.009e-31
chr14_GL000225v1_random	113385	115186	162.9	2.9	1.648e-33	6.997e-31
chr2	217795715	217797726	147	-3.4	1.537e-33	9.065e-31
chr6	7725796	7728795	247.7	2.2	3.471e-33	1.381e-30
chr20	53578915	53583289	693.1	1.3	1.312e-32	1.114e-29
chr14_GL000225v1_random	36234	37819	201.8	2.5	5.120e-32	2.012e-29
chr20	32051981	32053340	176	2.6	5.954e-32	2.166e-29
chr6	3226695	3229975	289.4	2	9.774e-32	3.470e-29
chr11	75561644	75563221	327.6	1.7	1.699e-31	5.870e-29
chr14	58637143	58638985	207.3	2.3	2.037e-31	6.852e-29
chr5	32531025	32532982	160.4	2.8	2.589e-31	8.872e-29
chr1	184973286	184974849	315.6	1.8	3.755e-31	1.294e-28
chr12	47810495	47814820	726.2	-1.2	1.895e-31	1.294e-28
chr10	73771652	73775912	1822.1	-0.7	8.548e-31	2.362e-28
chr1	154856704	154860637	1348.3	-0.8	5.497e-30	2.860e-27
chr4	25859894	25870410	1812.4	-0.7	7.059e-30	2.860e-27
chr6	44082993	44084864	127.1	-3.4	9.646e-30	3.919e-27
chr20	64057015	64058720	194.3	-2.4	1.576e-29	4.379e-27
chr6	158536118	158537786	291.5	1.8	1.628e-29	4.689e-27
chr14_GL000225v1_random	52777	54236	175.3	2.5	5.080e-29	1.348e-26
chr1	30753347	30758315	1112.8	0.9	1.892e-29	1.720e-26
chr5	173715746	173721259	659.1	-1.2	8.899e-29	4.946e-26
chr12	89351236	89355153	425.8	1.4	2.187e-28	5.482e-26
chr7	28409118	28411477	400.2	1.4	3.624e-28	8.875e-26
chr11	47106980	47110318	309.8	-1.9	4.537e-28	1.147e-25
chr16	81841737	81843324	113.8	3.4	4.795e-28	1.147e-25
chr3	15794762	15798167	126	3	1.401e-27	3.339e-25
chr6	37696536	37699399	532.3	1.2	1.046e-27	4.071e-25
chr17	77432233	77438714	1644.8	-0.7	1.451e-27	4.539e-25
chr7	1000265	1002943	113.1	-3.3	1.107e-26	2.503e-24
chr1	7406942	7409677	663.4	-1.1	9.970e-27	3.713e-24
chr17	80728833	80733648	638.6	-1.2	1.110e-26	4.063e-24
chr10	6200697	6205962	1734.7	-0.7	2.213e-26	6.568e-24
chr6	170289163	170292146	313.3	1.6	3.336e-26	7.342e-24
chr11	1852062	1855212	1049.1	-0.9	1.364e-26	9.073e-24
chr14_GL000225v1_random	29918	31506	186.4	2.3	5.082e-26	1.015e-23
chr12	57235031	57244090	3343.7	-0.5	3.836e-26	1.052e-23
chr8	28383129	28387291	641.5	-1.1	2.469e-26	1.517e-23
chr4	99648075	99654610	630.3	-1.1	5.367e-26	3.250e-23
chr7	91263419	91265818	837.5	0.9	1.086e-25	4.440e-23
chr6	149478606	149485544	1010.6	-0.9	1.247e-25	7.273e-23
chr17	79991931	79994197	123.9	2.9	4.487e-25	9.372e-23
chr22	50481114	50483393	654.2	1	3.417e-25	3.542e-22
chr4	78056359	78058538	163.7	2.2	1.937e-24	3.595e-22
chr22	46773854	46777500	383.9	-2.6	3.184e-24	5.553e-22
chr22	39446193	39451850	2216.6	-0.6	4.385e-24	1.053e-21
chr18	58398708	58400220	95.9	-3.5	4.978e-24	1.095e-21
chr11	61025893	61028564	487.5	-1.2	8.312e-24	2.770e-21
chr2	172094312	172097388	379.8	1.3	2.977e-23	4.784e-21
chr7	108454750	108456515	123	2.6	4.303e-23	8.066e-21
chr6	144284623	144287247	304.9	1.5	6.632e-23	1.157e-20
chr1	3909836	3912664	754.7	-1	3.703e-23	1.878e-20
chr2	196592504	196593814	149.3	2.3	1.042e-22	2.121e-20
chr20	3237777	3240066	625	1.1	8.490e-23	2.623e-20
chr15	40511076	40512114	148	2.2	2.752e-22	5.467e-20
chr6	108117007	108119668	335.7	1.4	4.170e-22	6.321e-20
chr1	212698766	212701347	758.2	0.9	9.067e-23	7.851e-20
chr2	200377848	200380042	205.8	-1.8	5.547e-22	8.176e-20
chr5	72106987	72109200	111.4	2.7	4.313e-22	8.176e-20
chr15	31305965	31308408	393.2	-1.3	5.964e-22	8.663e-20
chr19	14582784	14585569	690.4	-1	1.179e-22	9.747e-20
chr6	45421439	45423857	320.6	1.4	7.409e-22	1.135e-19
chr12	25958025	25959505	193.8	1.9	1.234e-21	1.812e-19
chr5	140041676	140043754	351.3	1.3	1.941e-21	2.909e-19
chr14	52949790	52951857	432.4	1.2	2.515e-21	3.727e-19
chr21	31872257	31874311	434	1.2	3.765e-21	5.120e-19
chr11	1521096	1524410	397.6	-1.4	4.890e-21	7.024e-19
chr7	128166531	128168103	146.5	2.2	8.859e-21	1.210e-18
chr12	672731	675464	272.6	-1.5	1.033e-20	1.453e-18
chr2	43220976	43228277	3050.6	-0.4	8.529e-21	1.576e-18
chr6	16128457	16133255	1604.6	-0.6	9.609e-21	1.717e-18
chr2	8580978	8584290	351.1	-1.3	1.308e-20	1.785e-18
chr17	4433217	4435401	214.4	1.8	1.744e-20	2.337e-18
chr2	231670722	231673566	493.6	-1.2	1.516e-20	3.290e-18
chr15	40952159	40956625	1514.9	0.6	1.970e-20	3.400e-18
chr17	46978165	46979783	301.8	1.4	3.836e-20	4.696e-18
chr18	70288510	70290012	95.7	2.9	4.088e-20	5.014e-18
chr1	9064162	9070169	1044.8	-0.8	1.447e-20	5.537e-18
chr2	28389916	28393998	1021.8	0.8	1.604e-20	6.680e-18
chr3	194685527	194688515	465.4	1.1	7.050e-20	8.312e-18
chr1	27525383	27528979	398.6	-1.2	9.392e-20	1.101e-17
chr2	20223404	20225761	109	2.6	1.196e-19	1.589e-17
chr15	64774660	64776287	85	3.2	1.117e-19	1.840e-17
chr16	85908588	85912394	356.2	-1.3	1.828e-19	2.079e-17
chr19	4968052	4971822	726.1	-0.9	6.494e-20	2.331e-17
chr1	26316609	26319893	980.7	-0.8	7.525e-20	2.657e-17
chr1	203026082	203027705	275.1	-1.4	2.486e-19	2.926e-17
chr1	112507772	112509284	282.2	1.4	2.720e-19	3.199e-17
chr11	57512305	57516440	1487.6	0.6	2.281e-19	3.448e-17
chr20	44751469	44752524	74.9	3.4	2.912e-19	3.469e-17
chr14	68977891	68979778	143.1	2.1	4.835e-19	5.327e-17
chr4	42396927	42398829	236.9	1.5	6.976e-19	7.768e-17
chr15	72226315	72232156	2182.7	-0.5	7.136e-19	1.043e-16
chr16	12316566	12320646	405.1	-1.2	1.054e-18	1.100e-16
chr7	101989727	101992673	293.1	-1.4	1.146e-18	1.245e-16
chr10	131978596	131982919	1229.3	-0.6	1.024e-18	1.888e-16
chr7	128030626	128032883	372.6	1.2	1.901e-18	1.888e-16
chr1	197915616	197916999	123.9	2.3	1.421e-18	2.062e-16
chr15	57299757	57303652	827.1	-0.9	1.201e-18	2.636e-16
chr7	101853419	101857867	824.3	-0.8	9.603e-19	3.144e-16
chr17	48054441	48057283	330.9	1.3	3.486e-18	3.454e-16
chr13	20160484	20162013	197.4	1.6	3.987e-18	4.152e-16
chr15	45112996	45115386	184.1	-1.7	4.371e-18	4.517e-16
chr2	218870845	218872231	264.8	1.4	5.199e-18	5.331e-16
chr2	231925351	231927144	157.7	1.9	6.651e-18	6.393e-16
chr4	152935867	152938020	116.7	2.2	5.867e-18	6.402e-16
chr2	231661823	231667206	1884.9	-0.5	4.928e-18	6.490e-16
chr17	4393602	4397211	457.1	-1.1	7.219e-18	6.568e-16
chr18	63149990	63159421	1636.5	-0.6	5.216e-18	6.787e-16
chr19	2081798	2086015	606.4	-0.9	3.746e-18	6.877e-16
chr8	19081871	19085228	200.4	-1.7	8.190e-18	7.873e-16
chr18	79466672	79469140	432.2	-1.1	8.666e-18	7.882e-16
chr7	128360695	128362243	175.3	1.8	8.374e-18	7.936e-16
chr12	47816740	47820640	1323.9	-0.6	3.181e-18	9.979e-16
chr1	226548275	226550240	155.8	1.9	1.040e-17	1.199e-15
chr11	76205922	76209865	764.9	0.8	2.772e-18	1.417e-15
chr3	181712277	181720704	1186.7	-0.7	7.745e-18	2.239e-15
chr9	132161213	132163093	187	1.7	2.777e-17	2.422e-15
chr1	110606137	110607705	235.5	1.5	2.667e-17	2.476e-15
chr17	77034912	77037511	312.3	-1.3	3.699e-17	3.182e-15
chr12	57210602	57212492	187.6	-1.7	3.734e-17	3.191e-15
chr1	231417376	231423203	2024.4	-0.5	2.746e-17	3.264e-15
chr2	68364546	68368510	934.2	0.7	1.386e-17	3.723e-15
chr5	78508111	78512597	779.7	-0.8	2.587e-17	3.740e-15
chr11	46380451	46382725	228.3	1.5	4.658e-17	4.068e-15
chr8	93699863	93701169	450.5	1	5.036e-17	4.180e-15
chr2	160492557	160494015	209.1	1.6	5.067e-17	4.426e-15
chr20	44068578	44070959	198.1	1.6	5.525e-17	4.528e-15
chr1	225652233	225654008	210.3	1.6	5.624e-17	4.579e-15
chr1	157773886	157777395	359.8	-1.2	6.882e-17	5.546e-15
chr12	93569916	93571673	133.2	2.1	9.143e-17	7.407e-15
chr7	25964287	25968237	516.7	-1	8.117e-17	1.115e-14
chr21	36134809	36136449	342.5	1.2	1.547e-16	1.311e-14
chr16	81783425	81790703	1463.6	-0.6	1.212e-16	1.330e-14
chr1	2027796	2029033	59.9	3.8	1.810e-16	1.422e-14
chr4	82798106	82799514	130.2	2	1.936e-16	1.520e-14
chr1	40662323	40666544	576.4	0.9	1.606e-16	2.172e-14
chr12	94147685	94150949	949.3	0.7	1.235e-16	3.118e-14
chr4	121950153	121952077	416.8	1.1	5.154e-16	4.211e-14
chr22	35834373	35841061	497.5	-1	3.345e-16	4.375e-14
chr21	46667122	46668462	155.4	1.8	5.849e-16	4.457e-14
chr11	68312089	68313579	168.5	1.7	6.535e-16	5.246e-14
chr14	105092755	105094315	275.8	1.3	7.745e-16	5.768e-14
chr7	1501694	1506517	1519.1	-0.6	9.414e-16	6.352e-14
chr20	36092219	36094013	351.7	1.1	9.551e-16	6.831e-14
chr21	42234318	42238896	462.8	-1	1.221e-15	8.967e-14
chr14	105473673	105475551	308.8	1.2	1.536e-15	1.198e-13
chr17	69501953	69503513	72.5	2.8	1.694e-15	1.215e-13
chr2	6864858	6866563	456.3	1	1.590e-15	1.226e-13
chr18	9707805	9709393	170.6	1.7	1.770e-15	1.329e-13
chr7	24842058	24844402	335.9	-1.2	2.176e-15	1.504e-13
chr10	62373926	62374874	108.2	2.1	1.728e-15	1.583e-13
chr17	3903202	3904699	64.5	3.1	2.481e-15	1.797e-13
chr17	17822287	17823633	169.4	-1.7	2.465e-15	1.848e-13
chr12	48979542	48981743	137.9	1.8	2.620e-15	1.877e-13
chr12	16602457	16608179	552.2	-0.9	1.853e-15	2.248e-13
chr2	127106757	127107732	91.9	2.4	3.198e-15	2.267e-13
chr14	69442072	69443616	72.7	2.9	3.336e-15	2.297e-13
chr9	4297262	4298962	253.5	1.3	3.509e-15	2.399e-13
chr8	124726698	124729227	674.3	0.8	2.412e-15	2.818e-13
chr18	79395705	79406246	3369.8	-0.4	3.082e-15	2.884e-13
chrX	9785536	9787132	110.8	2.1	4.279e-15	2.900e-13
chr10	103493295	103494752	118.5	2.1	3.115e-15	2.982e-13
chr17	77449117	77459820	3762	-0.3	4.341e-15	3.999e-13
chr22	41976225	41977457	141	1.8	5.384e-15	4.079e-13
chr18	32768105	32773011	1538.8	-0.5	4.844e-15	4.451e-13
chr11	110711035	110713498	591.3	0.8	4.253e-15	4.828e-13
chr7	24756436	24758292	577.5	0.8	4.456e-15	5.032e-13
chr18	48538711	48541486	342.6	1.1	9.565e-15	6.207e-13
chr19	2048565	2051742	647.6	-0.8	5.787e-15	6.422e-13
chr19	7348491	7350774	608.2	-0.8	6.038e-15	6.615e-13
chr5	132293057	132295158	526.8	0.9	6.227e-15	6.788e-13
chr9	35673451	35676310	216.2	-1.4	1.176e-14	7.452e-13
chr20	31869890	31871091	249.6	1.3	1.217e-14	7.669e-13
chrUn_GL000216v2	160770	161623	70.7	2.8	9.978e-15	8.106e-13
chr17	80885912	80887755	171.1	-1.6	1.292e-14	8.641e-13
chr5	55231464	55234664	841.9	0.7	4.351e-15	8.895e-13
chr16	69105515	69107478	218.1	1.4	1.504e-14	9.296e-13
chr1	157045267	157046642	253.7	1.3	1.880e-14	1.161e-12
chr18	63136568	63139187	520.4	-0.9	1.091e-14	1.170e-12
chrX	7219095	7221417	117.3	2	1.373e-14	1.201e-12
chr12	113076667	113080241	311	-1.2	1.990e-14	1.207e-12
chr16	46745600	46748693	596.3	-0.8	1.151e-14	1.218e-12
chr14_GL000225v1_random	89733	90597	80.1	2.6	2.013e-14	1.245e-12
chr1	206506704	206508131	315.2	1.1	3.880e-14	2.254e-12
chr3	181915896	181919411	187.9	-1.5	3.958e-14	2.472e-12
chr20	45405873	45406934	79	2.5	3.441e-14	2.639e-12
chr1	42955115	42961108	2052.3	-0.4	3.475e-14	2.913e-12
chr20	49665667	49670321	282.6	-1.2	5.204e-14	3.065e-12
chr15	45521759	45523285	402.9	1	6.182e-14	3.611e-12
chr20	50189939	50194193	1488.7	0.5	5.171e-14	4.176e-12
chr3	184260016	184262709	426.6	0.9	6.898e-14	4.278e-12
chr10	70477844	70482550	1693	-0.5	5.841e-14	4.786e-12
chr1	4044845	4048779	524.7	-0.9	4.272e-14	4.875e-12
chr14_GL000225v1_random	8733	9764	101.7	2	8.617e-14	4.977e-12
chr2	100877764	100880322	269.2	-1.2	9.127e-14	5.188e-12
chr9	36135885	36137643	316.5	1.1	8.683e-14	5.266e-12
chr2	31253211	31257033	399.3	-1	9.387e-14	5.310e-12
chr15	40282004	40283380	314	1.1	1.070e-13	5.835e-12
chr6	43076173	43077199	68.9	2.6	8.363e-14	6.049e-12
chr8	79890742	79892181	313	1.1	1.358e-13	7.337e-12
chr11	46237529	46238743	71.8	2.6	1.399e-13	7.793e-12
chr21	15064020	15065930	165.6	1.5	1.434e-13	7.905e-12
chr3	186107688	186110304	303.2	1.1	1.532e-13	8.171e-12
chr3	48223196	48224988	125.6	-1.9	1.310e-13	8.222e-12
chr5	98768812	98771531	112.7	1.9	1.216e-13	8.571e-12
chr2	111897437	111899512	385.3	1	1.917e-13	1.009e-11
chr11	46391176	46393314	386.8	1	1.820e-13	1.052e-11
chr5	95730752	95732093	294.2	1.1	1.857e-13	1.060e-11
chr3	181813815	181818065	476.1	-0.9	1.230e-13	1.144e-11
chr6	149990231	149991572	125.7	1.8	1.688e-13	1.165e-11
chr12	1629435	1630804	196.3	1.4	2.610e-13	1.390e-11
chr7	30159391	30161681	226.8	-1.3	2.551e-13	1.433e-11
chr17	73310536	73312562	119.5	1.8	2.945e-13	1.596e-11
chr3	185823117	185826017	272.8	1.1	2.883e-13	1.619e-11
chr18	36186806	36189067	563.4	0.8	2.056e-13	1.881e-11
chr10	100345597	100350244	1069.7	-0.6	1.160e-13	1.921e-11
chr8	38467515	38468787	63.1	2.8	3.020e-13	2.024e-11
chr8	80577910	80579128	153.4	1.6	3.438e-13	2.035e-11
chr19	50342445	50345459	426.3	-0.9	3.987e-13	2.055e-11
chrX	72304918	72307505	98.9	2	4.136e-13	2.139e-11
chr8	133569823	133573341	1513.9	0.5	4.640e-13	2.154e-11
chr7	129188207	129189711	353	1	4.670e-13	2.369e-11
chr1	110083663	110085021	76.8	2.3	4.452e-13	2.484e-11
chr14	90060116	90062833	575.7	0.8	2.882e-13	2.532e-11
chr9	93062267	93065084	242.8	-1.2	5.012e-13	2.532e-11
chr8	133296425	133298112	137.1	1.7	4.019e-13	2.599e-11
chr17	17681114	17683216	152.9	1.5	5.315e-13	2.674e-11
chr5	107670444	107673846	708.2	0.7	2.506e-13	2.710e-11
chr7	29684366	29685906	511.3	0.9	3.440e-13	2.907e-11
chr17	38418756	38420097	70.4	2.5	5.903e-13	2.988e-11
chr17	83078850	83081747	185.7	1.4	6.289e-13	3.232e-11
chr22	39455660	39459374	711.2	-0.7	1.222e-13	3.447e-11
chr19	3358841	3361371	361.3	1	6.570e-13	3.456e-11
chr13	111114441	111115841	80.9	2.2	7.381e-13	3.680e-11
chr15	89654530	89655703	99.3	2	7.574e-13	3.695e-11
chr12	49750178	49751641	53.9	3.1	6.316e-13	3.930e-11
chr16	67150242	67151331	177.9	1.4	8.259e-13	3.969e-11
chr1	100538789	100540238	103.7	1.9	8.341e-13	4.024e-11
chr9	96020760	96022235	149.6	1.6	7.332e-13	5.002e-11
chr10	17616635	17617954	98.9	2.1	9.766e-13	5.289e-11
chr8	47736288	47739214	709.5	0.7	6.479e-13	5.289e-11
chr11	2384533	2390468	1408.3	-0.5	3.230e-13	5.309e-11
chr3	194099245	194102039	338.1	-1	1.196e-12	5.442e-11
chr1	9847906	9852991	1505.5	-0.5	1.282e-12	5.449e-11
chr12	47212082	47219757	1116	-0.6	5.680e-13	5.777e-11
chr8	120808605	120812837	1919.7	0.4	9.021e-13	5.832e-11
chr19	48871969	48876152	1039	0.6	4.009e-13	5.847e-11
chr5	58582139	58583467	149.3	1.6	1.253e-12	5.931e-11
chr7	128455136	128458631	1589.3	-0.5	1.074e-12	6.888e-11
chr12	96193708	96195671	377	0.9	1.653e-12	7.545e-11
chr7	100219045	100222991	1653.7	-0.4	1.234e-12	7.857e-11
chr4	165326357	165331969	1138.1	-0.5	5.159e-13	8.179e-11
chr14	59359624	59362692	415.3	-0.9	2.182e-12	9.889e-11
chr18	49560571	49565012	1798.6	-0.4	1.872e-12	1.170e-10
chr7	32727928	32729324	197.7	1.3	2.455e-12	1.170e-10
chr12	6532144	6537083	2486.4	-0.4	2.016e-12	1.251e-10
chr1	101235724	101237884	331	1	2.608e-12	1.257e-10
chr1	111229637	111232429	471.4	-0.9	1.490e-12	1.315e-10
chr15	74787664	74790517	369.7	-1	2.834e-12	1.357e-10
chr22	44023621	44026778	332.6	-1	3.588e-12	1.581e-10
chrX	1549091	1551238	262.2	-1.2	3.600e-12	1.581e-10
chr22	37491713	37493200	448.4	-0.9	3.943e-12	1.849e-10
chr4	112514096	112517635	1030.4	0.6	2.055e-12	1.961e-10
chr15	40927942	40930092	163.9	1.4	4.631e-12	2.112e-10
chr19	1667148	1670037	340	-1	5.230e-12	2.265e-10
chr11	119726022	119730385	998.7	-0.6	1.666e-12	2.291e-10
chr11	26992174	26997764	884.4	-0.6	1.614e-12	2.308e-10
chr20	360707	361791	53.6	2.9	4.444e-12	2.467e-10
chr8	141417413	141418368	67.4	2.5	4.584e-12	2.537e-10
chr3	159762717	159765437	821.6	0.6	2.813e-12	2.615e-10
chrY	22297158	22298587	87.8	-2	6.329e-12	2.717e-10
chr1	154404949	154406098	71.1	2.3	6.035e-12	2.819e-10
chrX	121343654	121348683	473.3	-0.8	4.209e-12	3.039e-10
chr15	66252359	66253973	220.7	1.2	6.880e-12	3.098e-10
chr6	44000262	44001955	315.6	-1	7.877e-12	3.572e-10
chr17	32265520	32267036	70.2	2.3	1.001e-11	4.302e-10
chr1	212606854	212610111	996.8	0.6	3.328e-12	4.412e-10
chr17	63928497	63934146	2623.6	-0.3	1.186e-11	4.484e-10
chr2	111702333	111705831	311.1	-1	1.087e-11	4.510e-10
chr1	180228991	180231975	563.1	0.8	6.465e-12	4.597e-10
chr5	151085398	151087443	324.1	-1	1.105e-11	4.914e-10
chr15	83108184	83108936	42	3.8	1.172e-11	4.940e-10
chr12	64780195	64781928	264.6	1.1	1.271e-11	5.186e-10
chr10	97425139	97428845	874.6	-0.6	4.161e-12	5.571e-10
chr8	85187138	85192937	1780.7	-0.4	9.853e-12	5.579e-10
chr17	4374955	4377709	364.6	-1	1.399e-11	5.655e-10
chr2	172427204	172428541	173.7	1.3	1.341e-11	5.747e-10
chr15	82952055	82953306	139	1.5	1.507e-11	6.124e-10
chr3	179450692	179452146	476.5	0.8	9.441e-12	6.472e-10
chr20	40688424	40690235	235.3	1.1	1.618e-11	6.866e-10
chr9	114385648	114390611	1414.2	-0.5	1.006e-11	7.238e-10
chr11	86954799	86956770	421.3	0.8	1.915e-11	7.597e-10
chr14	75277177	75279680	224.7	1.2	1.981e-11	7.839e-10
chr2	96868322	96870138	95.6	1.9	1.535e-11	7.839e-10
chr20	32582864	32585702	350.4	0.9	1.996e-11	8.406e-10
chr12	94872940	94874559	183.5	1.3	2.071e-11	8.695e-10
chr2	73175418	73177669	234.9	1.1	2.194e-11	9.109e-10
chr2	26847415	26848892	117.1	1.6	2.302e-11	9.229e-10
chr10	100826583	100828808	167.7	1.4	2.397e-11	9.893e-10
chr9	137665392	137668683	212.2	-1.2	2.443e-11	9.924e-10
chr5	78717763	78721404	868.5	-0.6	8.747e-12	1.111e-09
chr18	63141058	63147951	1437	-0.5	1.339e-11	1.127e-09
chr7	37447214	37449785	725.2	0.7	1.706e-11	1.129e-09
chr11	17734278	17735569	156.5	1.4	2.385e-11	1.181e-09
chr14	60721648	60724583	820.7	0.6	1.498e-11	1.246e-09
chr12	70609517	70610390	61.4	2.5	2.612e-11	1.286e-09
chr8	38899823	38905327	1377.3	-0.5	9.896e-12	1.312e-09
chr1	169682659	169685827	315.7	-1	3.244e-11	1.314e-09
chr5	10332988	10334077	167.6	1.3	4.033e-11	1.525e-09
chr6	154994945	154996283	246.8	1.1	4.082e-11	1.539e-09
chr8	66541112	66542205	108.4	-1.8	2.925e-11	1.573e-09
chr1	220527953	220529157	115.5	1.7	3.513e-11	1.699e-09
chr6	43769617	43773996	2138.6	-0.4	3.293e-11	1.703e-09
chr17	7833432	7839332	1763.5	-0.4	3.391e-11	1.748e-09
chr5	124968412	124973434	1328.7	-0.5	2.645e-11	1.757e-09
chr7	75638537	75640128	210.9	1.2	4.930e-11	1.910e-09
chr2	225041004	225042753	92.1	1.9	5.248e-11	1.983e-09
chr22	30422424	30426920	1694	-0.4	3.886e-11	1.983e-09
chr14	22491749	22495473	295.1	-1	5.553e-11	2.032e-09
chr10	86365635	86367493	116.4	1.6	3.884e-11	2.035e-09
chr11	1546612	1547862	87.8	2	5.694e-11	2.133e-09
chr16	58024517	58026700	566.6	0.7	3.090e-11	2.230e-09
chr5	31994559	31999180	1080.3	-0.6	1.941e-11	2.236e-09
chr10	80203059	80206186	1301.1	-0.5	3.663e-11	2.372e-09
chr16	4935970	4937771	223.3	1.1	6.486e-11	2.500e-09
chr18	11688910	11690119	142.8	1.5	5.410e-11	2.513e-09
chr5	79234943	79238486	1444.2	0.5	3.443e-11	2.695e-09
chr14	100374042	100377460	1154.6	0.5	3.491e-11	2.725e-09
chr10	12348538	12350881	429	0.8	7.711e-11	2.750e-09
chr7	1044098	1045803	281.4	-1	7.389e-11	2.750e-09
chr17	49993170	49993964	49.5	2.8	7.774e-11	2.831e-09
chr15	74780292	74786010	2031.3	-0.4	9.147e-11	2.941e-09
chr5	10563009	10565583	355.1	0.9	7.854e-11	2.960e-09
chr19	34364244	34367171	1425	-0.4	2.425e-11	2.976e-09
chr3	127822301	127823739	170.8	1.3	9.756e-11	3.426e-09
chr1	23910719	23913771	626.7	-0.7	5.432e-11	3.770e-09
chr1	39104995	39106488	339.4	0.9	1.156e-10	3.907e-09
chr14	59870126	59871213	90.7	1.8	1.123e-10	3.940e-09
chr4	71186397	71187882	88.7	1.9	1.124e-10	4.006e-09
chr5	157265317	157271611	1811.2	-0.4	1.340e-10	4.213e-09
chr1	112501744	112502481	98.4	1.8	9.983e-11	4.450e-09
chr6	6005191	6009513	1260.9	-0.5	4.106e-11	4.638e-09
chr10	6579898	6581040	153.6	1.4	1.052e-10	4.665e-09
chr3	183535721	183538126	237	-1.2	1.373e-10	4.706e-09
chr18	13217073	13217971	68.7	2.3	1.507e-10	5.162e-09
chr12	2245817	2246988	159.2	-1.3	1.467e-10	5.296e-09
chr15	75647002	75648428	299.5	0.9	1.610e-10	5.901e-09
chr7	6615090	6616265	49.9	2.7	1.771e-10	5.931e-09
chr7	101867756	101870029	183	-1.3	1.659e-10	5.989e-09
chr16	85750407	85751539	78.6	2	1.648e-10	6.114e-09
chr7	106073718	106074847	108.7	-1.7	1.443e-10	6.262e-09
chr9	95515434	95517282	344.1	0.9	1.751e-10	6.271e-09
chr5	42950350	42952710	461.8	0.8	1.751e-10	6.317e-09
chr2	190343351	190344597	273.5	1	1.797e-10	6.404e-09
chr9	130444880	130445815	35.1	4.3	1.954e-10	6.673e-09
chr14	60647506	60649824	163.1	1.3	1.979e-10	6.960e-09
chr14	105854304	105857331	586.1	0.7	1.322e-10	7.583e-09
chr16	75250157	75252196	476.5	0.8	1.364e-10	7.866e-09
chr17	50055189	50057293	558.6	0.7	1.457e-10	8.188e-09
chr7	128869029	128870237	157.2	1.3	2.863e-10	9.408e-09
chr20	33672322	33675128	1176.9	-0.5	1.345e-10	9.613e-09
chr19	18416751	18418302	68	2.1	2.959e-10	9.693e-09
chr10	59708831	59710451	117.3	1.6	2.335e-10	9.823e-09
chr14	92539309	92540852	80.4	-2	2.863e-10	1.024e-08
chr20	32482412	32485378	540.9	0.7	1.930e-10	1.077e-08
chr2	38076159	38077511	114.6	1.6	2.361e-10	1.093e-08
chr14	88322756	88324460	360	0.8	3.568e-10	1.152e-08
chr11	111977180	111977922	91.3	1.8	3.496e-10	1.154e-08
chr7	129784951	129786089	97.2	1.8	3.572e-10	1.156e-08
chr16	73057321	73059461	388.6	0.8	3.776e-10	1.171e-08
chr1	2546314	2549483	690.8	-0.6	1.702e-10	1.192e-08
chr12	65278397	65279806	100.7	1.7	3.746e-10	1.225e-08
chr2	195334659	195340102	458.6	-0.8	3.932e-10	1.245e-08
chr11	72720803	72722880	425.7	-0.8	4.785e-10	1.508e-08
chr17	80035306	80037041	218.3	1.1	4.779e-10	1.508e-08
chr2	54091183	54094115	544.9	-0.7	2.793e-10	1.511e-08
