TMD8_DMSO_rep1	TMD8_DMSO_rep2	TMD8_DMSO_rep3	TMD8_JIB04_150nM_rep1	TMD8_JIB04_150nM_rep2	TMD8_JIB04_150nM_rep3	TMD8_JIB04_500nM_rep1	TMD8_JIB04_500nM_rep2	TMD8_JIB04_500nM_rep3
AAK1	1.64558	1.50754	1.32345	1.35601	1.37178	1.75041	1.36747	1.44862	1.60144
AAMDC	3.05221	2.20972	2.29364	2.55275	3.23928	3.31058	2.40661	3.88762	2.69298
AAMP	27.4957	26.4261	26.1413	26.3454	22.7127	22.5871	17.8701	19.4306	19.5374
AANAT	1.811439	2.252617	2.153463	1.365199	1.424331	1.880172	1.198293	1.017794	1.184906
AAR2	11.30305	9.6726	9.90385	8.39057	8.16047	8.28916	6.56364	6.98349	7.0826
AARD	0.690503	1.05577	1.02725	1.11653	1.18129	1.34947	0.748262	0.653953	1.06151
AARS	31.5541	25.623	26.0241	34.0091	32.4176	35.8297	32.3485	34.4394	36.5585
AARS2	9.57408	8.21554	8.03809	7.81316	7.31019	7.53917	5.7406	6.46292	6.56514
AARSD1	15.8346	15.232	13.8296	11.5155	12.9486	12.554	7.84626	9.9244	8.98008
AASDH	5.57461	4.4512	3.97409	4.34758	3.82016	3.97696	4.04709	3.97392	4.44927
AASDHPPT	11.6665	9.17752	9.08248	7.32911	6.15442	6.19445	4.78326	5.09499	5.53969
AASS	0.427618	0.503222	0.384166	0.318939	0.329935	0.357165	0.276794	0.272659	0.334157
AATF	32.3587	29.1937	30.1782	25.5142	21.6754	26.3644	17.0684	17.5024	19.2098
AATK	0.00934471	0.0075403	0.00660498	0.0186273	0.0082587	0.0254589	0.0697796	0.113511	0.0558332
AATK-AS1	0	0	0	0	0.0288107	0.0221797	0.0231255	0	0.0406528
ABAT	0.1516504	0.19121	0.1241275	0.218933	0.1892984	0.257236	0.2686616	0.360164	0.273474
ABCA1	0.158293	0.150797	0.129008	0.150874	0.173083	0.260775	0.202101	0.254876	0.177925
ABCA10	0.156477	0.114391	0.110769	0.282653	0.218118	0.294813	0.238236	0.21412	0.298241
ABCA11P	2.25801	1.92748	1.72187	1.35925	1.63225	1.91365	1.29212	1.76814	1.72584
ABCA12	0.0376988	0.0234331	0.0205334	0.0173741	0.00513429	0.00791497	0.0182667	0.0201617	0.0290261
ABCA13	0.0370995	0.0749646	0.0656537	0.0465363	0.0533599	0.0705994	0.036744	0.0522674	0.0847906
ABCA17P	0.0477921	0.0553834	0.140453	0.102587	0.0404347	0.0701072	0.0486877	0.0496214	0.0285642
ABCA2	0.957986	0.836447	0.785881	1.1253	1.313313	1.318684	1.369675	1.599369	1.590767
ABCA3	0.350085	0.275914	0.23482	0.312489	0.28965	0.27178	0.283065	0.302904	0.249166
ABCA4	0	0	0	0	0	0.00437747	0	0.00557553	0
ABCA5	2.501208	1.878245	1.881468	3.017712	2.753502	3.043819	2.764934	2.787081	3.180368
ABCA6	33.2893	25.492	25.2718	27.4846	25.6627	28.8726	22.5665	23.7703	24.0336
ABCA7	120.309	103.218	104.417	146.393	151.863	169.153	162.633	170.762	187.566
ABCA8	0.0865768	0.100248	0.0998646	0.14861	0.139089	0.163616	0.193924	0.165296	0.144827
ABCA9	1.87823	1.79332	1.65801	2.228	2.35932	3.06298	2.55423	2.57065	3.06795
ABCB1	0	0	0.00714623	0	0	0	0.00717306	0	0.0126259
ABCB10	13.6547	11.2157	10.1386	9.60059	8.03002	8.15677	6.56977	7.75384	7.2985
ABCB11	0.0417173	0.0161086	0.0282191	0.0497389	0.0352852	0.0203943	0.028325	0.00866031	0
ABCB4	1.559398044314	1.135250122	1.083733	1.709458	1.94206	2.040423572	1.450665	1.457024	1.346971
ABCB5	0.883389	1.563772	1.328017	1.091701	1.137773	1.597287	1.018403	1.1671068	1.167186
ABCB6	3.65299	3.15103	3.57902	4.04958	3.66359	4.78842	3.44435	3.59689	3.30212
ABCB7	12.183521	9.56645	9.6145805	8.425213	8.60093777496	8.211927	6.731419862	7.381443	7.042765
ABCB8	5.37386	4.70916	4.77975	4.53716	4.57249	4.6752	4.05348	4.41835	4.10794
ABCB9	0.7936976341217	0.8557354	0.8070409	1.060997	1.01208194	1.157737119819	1.2726714986	1.3102534	1.51921969
ABCC1	19.0892	15.2538	15.0268	13.692	12.9976	14.2112	11.3216	11.5372	12.6829
ABCC10	4.65963	4.84877	5.06078	4.72317	3.91135	4.35784	3.65556	4.00812	3.65206
ABCC11	0	0.00864147	0	0	0.0189279	0.0145863	0.00759712	0.0092913	0.0367008
ABCC12	0	0	0	0	0.00812827	0	0	0	0
ABCC13	0.0728983	0.267988	0.283893	0.139534	0.293214	0.320353	0.124274	0.211874	0.265135
ABCC2	0.265711	0.182376	0.206347	0.140791	0.14149	0.205255	0.220479	0.277814	0.258733
ABCC3	0.00961522	0.0148482	0.0065033	0.00917032	0.00813152	0	0.0130551	0.0239492	0.0114903
ABCC4	9.792049	8.55477	8.67435	5.6995	4.767821	5.44702	3.061201	3.37958	3.42784
ABCC5	5.1993	3.90427	4.31218	4.28305	4.32955	4.84009	4.6525	4.94216	4.25411
ABCC5-AS1	0.154276	0.123291	0.106478	0.149523	0.133665	0.204834	0.214486	0.13124	0.374669
ABCC6	0.0582612	0.0524834	0.0591088	0.0555661	0.049272	0.0759449	0.0593293	0.0161242	0.0580196
ABCC6P1	0.0562861	0.0580753	0.0127073	0.0537437	0	0.0367311	0.012758	0.0468128	0
ABCC6P2	0	0	0	0	0	0	0	0	0
ABCC8	0	0	0	0	0.00844919	0	0.0203476	0.0165899	0.0119389
ABCC9	5.26442	4.56467	4.36866	4.73216	4.52102	5.88106	4.07907	4.27122	5.06996
ABCD1	4.51823	3.59826	3.79207	2.48987	2.09211	2.43597	1.45548	1.7687	1.90468
ABCD2	0.510985	0.41603	0.395858	0.496182	0.50282	0.45412	0.700058	0.732745	0.777136
ABCD3	18.74752	13.77689	12.03445	11.5918	11.22761	11.34535	8.81315	11.1072	12.74511
ABCD4	6.860409	6.77247	6.37501	5.824936	6.29066	6.18154	5.088921	5.09716	5.70765
ABCE1	61.59777	47.66199	45.30068	36.02447	31.83559	30.00988	20.73457	22.58436	23.30171
ABCF1	41.79592	32.8974	32.3034	28.1585	25.7277	27.0992	18.8118	20.6961	22.7259
ABCF2	47.7866	39.0895	38.1112	29.59534	26.70763	27.6212	17.89588	18.9235	21.00576
ABCF3	16.2335	15.5451	15.009	14.7408	13.2307	13.9797	11.5428	11.7458	12.3608
ABCG1	0.174122	0.161638	0.188651	0.2324926245925	0.1176847416804	0.124968	0.0945046262362	0.1299200775471	0.104139
ABCG2	0.4979279	0.452625	0.282071	0.397734	0.362245	0.2974253	0.3147287	0.3292921	0.255911
ABCG4	0.013944	0.0107778	0	0.0532241	0.0708097	0.100028	0.1710739	0.115865	0.125241
ABCG5	0	0.028857	0.037885	0.05341	0	0.0121677	0.038036	0.0465218	0.0223069
ABCG8	0	0.014862	0.0130071	0.018337	0	0	0.0130591	0	0.045951
ABHD1	0.560448	0.60994	0.482155	0.679429	0.793966	0.660025	0.662778	0.654879	0.492837
ABHD10	19.265171	15.3645599	14.724514	12.135602	10.2352335	10.60666	7.816229	9.1898595	9.30759
ABHD11	6.145648	7.09971	6.499259	5.84603	5.785835	6.61835	5.793093	4.72902	5.927445
ABHD12	16.26634	13.55992	14.28998	15.52232	13.60659	14.90256	12.94963	13.4369	15.49423
ABHD12B	2.40806	2.01332	1.95741	2.06003	2.3566	2.02881	1.792	2.03997	1.96859
ABHD13	6.35616	5.18929	4.88765	4.62451	4.03727	4.22792	3.7048	4.0335	4.15008
ABHD14A	5.03485	5.09358	4.31642	4.28592	3.9993	4.45083	3.31671	3.58675	4.32533
ABHD14A-ACY1	0.811253	0.527287	0.7954	0.933044	0.418788	0.965904	1.13721	0.373242	0.797252
ABHD14B	25.77459	22.7038	23.47918	20.84805	19.46423	19.81162	14.10418	14.88904	16.475565
ABHD15	6.64066	5.7271	5.68661	5.76878	5.35492	5.94851	5.80043	5.59732	6.36624
ABHD16A	9.088131	8.227615	7.772384	9.039865	9.004274	9.518533	8.263233	8.402789	9.36092
ABHD16B	3.83746	3.48535	3.16843	2.90123	2.44927	3.11077	1.76331	2.30571	2.03135
ABHD2	5.948315	5.076866	4.853576	5.038379	4.591559	4.690457	4.40318	4.836147	4.686511
ABHD3	11.3901	10.766	8.71498	12.0189	10.881	10.7553	10.2472	9.5058	10.4022
ABHD4	2.62106	2.17181	2.4138	4.90864	5.27492	6.13503	5.05602	5.65601	6.34634
ABHD5	1.89091	1.38974	1.4699	1.36217	1.02117	1.18402	0.924959	1.03886	1.15193
ABHD6	22.0348	18.1971	18.0241	16.6646	15.4623	15.4114	11.0197	12.6182	11.7805
ABHD8	6.90162	6.66183	5.82726	5.38075	5.49378	5.84209	4.86781	5.06211	5.60821
ABI1	36.1968647	29.48696253182	28.046741453	32.908655	31.1510708	32.4569972	29.661302	32.228054	34.301797
ABI2	3.71943	3.09695	2.85989	2.44806	2.4663	3.02275	2.3373	2.37559	2.60771
ABI3	4.62573	4.26871	4.361661	3.8435	3.12431	3.739826	2.34504	2.387284	2.394857
ABI3BP	0.156227	0.198246	0.143436	0.159672	0.122717	0.123667	0.0606218	0.120478	0.200066
ABL1	13.06741	11.07804	11.42821	12.52186	11.89457	12.4837	10.28876	10.87031	11.81975
ABL2	6.9956027	5.51707963884	5.5766906	4.944823439	4.53099488	5.81753594	4.2303724428633	3.954116296	4.38016061
ABLIM1	1.70022654	1.477997	1.05623537	1.55981713891	1.4326127	1.500592	1.738961	1.8338584462	1.968695
ABLIM2	0.1896324	0.0799008	0.1004546	0.3021498	0.2357386	0.4960005	0.467198	0.546009	0.46946619
ABLIM3	0	0	0	0	0	0	0.00782853	0.00957434	0
ABO	0	0	0	0	0	0.0221483	0	0.0564987	0
ABP1	0	0	0	0	0	0	0	0	0
ABR	13.668968	11.1566962	11.137684	9.2919696	8.725811	9.408859	7.7290897	8.865226	9.1224994
ABRA	0.363593	0.516907	0.493545	0.535816	0.347262	0.555326	0.351421	0.390335	0.325945
ABRACL	15.1198	12.9452	12.1356	10.9654	8.85792	7.49901	6.67748	7.11347	6.99454
ABT1	13.7671	12.4711	12.2902	10.4867	9.17004	9.01908	6.34931	6.54795	7.36347
ABTB1	2.22043	2.111685	2.070329	2.421458	2.449199	2.9011672256	3.423121	3.941468	4.33741
ABTB2	7.27615	6.54351	6.19153	7.47229	7.47576	7.63314	8.01987	8.91502	9.03521
ACAA1	15.11253	14.286	13.90834	12.540223	11.48011	12.33724	10.80792	10.97048	11.031521
ACAA2	63.3393	53.4436	52.4549	44.8948	40.0556	39.8588	31.7648	34.4073	35.6393
ACACA	11.665855	9.597786	9.198545	6.599967	5.651809	5.5499092	3.855297	4.149276	4.077311
ACACB	0.694272	0.628648	0.68096	0.653325	0.731824	0.783895	0.795942	0.802126	0.882426
ACAD10	4.81799	3.54467	3.80799	4.35677	4.01111	4.59571	4.39484	4.38338	4.223398
ACAD11	3.25633	3.2063	2.87713	4.03001	4.26805	4.58559	5.24185	5.03754	5.76456
ACAD8	4.5947	4.1804	4.08835	3.75949	3.59596	3.27736	3.36757	3.55026	3.72322
ACAD9	12.44826	10.81456	10.58458	9.96495	7.69993	7.84636	6.24413	5.94003	5.61549
ACADL	0	0	0	0	0	0.0134752	0	0	0
ACADM	27.20609	21.63598	21.857571	20.4329	19.24536	20.22221	16.038301	18.653723	17.84789
ACADS	2.21653	2.24935	2.11558	2.48491	2.6932	2.41364	2.16181	2.9635	2.55629
ACADSB	12.6744	10.6319	10.3875	9.93179	9.05884	10.2721	7.85423	8.58304	8.62848
ACADVL	22.674099	20.81809	21.64968	28.238671	28.5671	30.954609	27.608103	28.715161	32.11871
ACAN	0.0114865	0.00886062	0	0.0109497	0.00468741	0	0.0233775	0	0.00685993
ACAP1	13.6435	12.6399	12.2546	12.1692	10.537	10.7509	7.99834	7.97634	9.24166
ACAP2	20.7917	16.9967	16.5784	16.5533	14.4634	15.7211	12.4617	14.4485	14.7447
ACAP3	2.39341	1.92203	1.91832	3.10029	3.02125	3.26096	4.06027	4.04376	4.22028
ACAT1	17.9054	14.5544	14.0198	12.5464	10.3701	11.121	8.35727	8.11299	8.25369
ACAT2	35.5005	29.7686	29.2155	24.385	22.7453	20.339	20.8486	23.3335	22.143
ACBD3	21.5798	17.0082	16.9585	14.6997	13.4086	14.267	10.8788	12.5536	12.0141
ACBD4	2.535376	3.1720760353	3.67726	3.927357	3.695309	3.652325511692	4.246098	3.822321476	4.044543
ACBD5	7.09659	6.354268	6.1858798	7.1869055	5.951984	6.733418	4.81594600065338	5.7078901	6.094518
ACBD6	21.0933	18.3791	18.0361	19.0401	18.2514	20.915	17.3729	18.6918	18.6336
ACBD7	3.08149	3.94053	3.3044	3.07448	2.94364	4.14532	2.50593	2.74941	3.32831
ACCS	2.74733	1.77696	1.958026	2.70646	2.32947	2.979954	2.43896	2.52582	2.61276
ACCSL	0	0	0	0	0.0245786	0	0	0.0241331	0
ACD	7.19021	7.001934	6.1594306	6.26832	4.92127	5.669186	4.53425	4.60084	5.28707
ACE	0.070062	0.0231864	0.0270798	0.0668235	0.0546636	0.0652366	0.0658199	0.0581736	0.0717675
ACE2	0	0	0	0.0137198	0.012169	0	0	0	0.0171906
ACER1	4.03492	2.90553	3.345	2.97597	2.55701	2.67909	2.37077	2.25128	1.92639
ACER2	1.4118	1.53472	1.35544	2.57633	2.61855	2.91519	3.68148	4.04209	4.57485
ACER3	5.54602	4.47077	4.61507	4.44331	4.25781	4.86483	3.57485	3.98345	3.91061
ACHE	0.0172008	0.0532225	0.0478399	0.0656824	0.1795329	0.123447	0.304237	0.372131	0.308616
ACIN1	51.162784	47.03796155096	46.416473452	41.88176174	37.476958	41.67684	29.876632	30.96587	34.931922
ACLY	112.7317	96.0226	93.8107	77.3018	68.21596	67.78856	53.37922	58.19954	61.39266
ACMSD	0.264378	0.102927	0.119829	0	0.074999	0.0577112	0.090296	0.0368235	0.0528813
ACN9	12.6488	10.7862	10.5001	8.45399	7.95449	7.63271	5.78107	6.67025	7.07169
ACO1	14.8137	11.341	10.5453	11.1682	9.84556	10.6151	8.2218	9.32385	9.95166
ACO2	64.5468	51.0137	51.0878	42.9143	41.2794	41.6535	30.7145	34.569	34.5383
ACOT1	1.83467	2.01326	1.68046	2.14658	2.01675	1.66009	1.20096	1.39157	1.31028
ACOT11	0.103685	0.2132562	0.1406	0.1521428	0.153908	0.101595	0.1560154	0.0647636	0.0811251
ACOT12	0	0	0	0.0251256	0	0	0	0.0218958	0
ACOT13	7.519326	5.826534	6.053435	5.192175	4.969909	5.168856	3.876819	3.846712	3.765263
ACOT2	13.576694	11.595647	12.213137	12.62927	11.042626	11.477255	8.978012	10.74133	9.81928
ACOT4	0.261214	0.0760592	0.0886437	0.249853	0.22184	0.256187	0.178066	0.27228	0.0782617
ACOT6	0	0	0.0387323	0.0545535	0.0485041	0.0373021	0.0389295	0	0.0683479
ACOT7	31.13235	26.711778	26.530398	19.480719	16.132303	15.671843	12.158295	12.691681	13.926289
ACOT8	11.1877	10.6907	10.05	7.37898	7.96002	8.11791	5.98208	6.66602	6.75559
ACOT9	9.97821	7.70136	6.983729	8.43044	7.05713	8.02544	6.06414	6.59538	6.39522
ACOX1	8.623546	7.664151	7.503	6.905684	6.914705	6.995068	5.200442	5.416228	5.515402
ACOX2	0	0.0173339	0	0.0213789	0	0.0146121	0.0152281	0	0.0267868
ACOX3	5.633874	5.152079	4.81355	4.497171	4.707748	4.943338	4.095553	4.673361	4.25209
ACOXL	4.97703	5.62144	4.93339	4.98236	4.78941	5.66134	4.16981	4.91939	5.93052
ACP1	56.68471	45.077622	44.744719	38.31411	36.189444	35.067821	29.103092	31.548047	30.859454
ACP2	8.992092	7.000076	7.347877	7.226367	6.714739	6.890862	5.339364	5.530999	6.023942
ACP5	0.1047635	0.101482	0.0496683	0.190502	0.2010396	0.186151	0.224514	0.114702	0.13154
ACP6	3.4422	3.10048	2.92866	2.76112	3.41663	3.37432	2.78223	3.71935	3.00522
ACPL2	1.732314	1.21153	1.129114	1.30963	1.303986	1.392171	0.956688	1.129735	1.2076351
ACPP	25.46624	19.36775	19.98095	16.7043	14.55583	13.48031	7.79881	8.14402	8.53004
ACPT	4.61374	4.91165	5.72012	3.79745	3.20108	3.33779	2.90089	2.67012	2.81586
ACR	0	0	0	0	0	0	0.0541999	0.0331533	0
ACRBP	0.278552	0.0864134	0.113351	0.21302	0.354535	0.327611	0.303554	0.440933	0.567164
ACRC	1.03626	0.727381	0.809479	1.29344	1.3633	1.58075	1.25689	1.81555	1.79224
ACRV1	0.838682	0.893418035618	0.54706000722311	0.480413	0.402861	0.444452049099	0.20562	0.649327	0.4071822
ACSBG1	2.50792	2.37542	1.84832	2.44298	2.42722	2.57122	2.20353	2.07096	2.02024
ACSBG2	0.867107	0.685605	0.536219	0.557966	0.542924	0.467452	0.33327	0.344912	0.293175
ACSF2	3.79373	3.63775	3.96644	4.15477	3.33394	3.32308	2.89656	3.1771	3.12896
ACSF3	14.017538	11.830963	12.1936260191299	11.472636	12.1183293	12.5237896	10.2759033	10.983264	10.9844223
ACSL1	28.6493	24.1397	22.9434	21.4909	20.4457	19.0259	13.7309	15.839	16.4469
ACSL3	34.20878	27.64273	27.5655	23.26935	20.38092	20.64959	16.54372	18.7406	18.75719
ACSL4	28.3691	22.37953	21.55181	19.09474	16.76112	16.94705	12.31941	14.40133	15.03301
ACSL5	20.391097	16.241179	16.250667	14.726227	13.906705	13.189579	9.770415	10.775044	11.332417
ACSL6	0.255587	0.280785000063433	0.347640000178394	0.34903700136242	0.3629483	0.3485771158838	0.3165677	0.2745244	0.3991918150633
ACSM1	0.127143	0.0591291	0.0172397	0	0.172536	0.166095	0.121183	0.105878	0.0913412
ACSM2A	0	0.106178	0	0.0426339	0.0726516	0.0696121	0.0466553	0.0502341	0.0590906
ACSM2B	0.12652	0	0.0857203	0	0	0.024523	0	0.0538578	0.0670827
ACSM3	0.813995	0.933711	0.884544	1.196144	1.122812	0.834894	0.662889	0.796619	1.086708
ACSM4	0.121467	0.117828	0.0824116	0.0871126	0.128893	0.0595456	0.10346	0.151869	0.218292
ACSM5	0.0212918	0	0.0144261	0.0406731	0	0.0138994	0.0289695	0	0
ACSS1	1.42096	1.279545	1.29454000255817	1.49932	1.505989332831	1.8094049	2.00497	2.2487753	2.313975
ACSS2	4.07894	3.5908	3.29349	3.87346	4.254121	4.169961	3.326646	4.027052	4.374951
ACSS3	0.101042	0.170422	0.171883	0.129067	0.114596	0.132558	0.126273	0.210306	0.0807881
ACTA1	0.557344	0.391017	0.408111	0.357371	0.516675	0.845223	0.443008	0.543941	0.695647
ACTA2	6.021747	6.0651	5.226299	7.26903	7.26896	9.24508	7.00952	7.34	7.82236
ACTB	3446.51	2684.44	2667.93	1933.48	1677.56	1764.58	993.49	1093.73	1178.21
ACTBL2	0	0	0.0618451	0.0174379	0	0	0	0	0
ACTC1	0	0	0	0	0	0	0	0.0113175	0.0162848
ACTG1	953.0881	734.18321	708.16549	596.36213	524.26651	521.6646	343.55059	367.67210949981	397.3442
ACTG1P4	0.131879	0.163993	0.268808	0.278182	0.359011	0.399848	0.324123	0.390622	0.600119
ACTG2	15.913	14.182878	13.40013	17.365675	19.194152	17.901318	13.91314	15.836824	17.300997
ACTL10	1.23558	1.59628	1.44856	1.47601	1.1135	1.5133	1.41958	1.13617	1.44866
ACTL6A	34.044377	29.59251	28.283874	20.647838	18.00311	19.26438	15.45593	16.05238	15.74427
ACTL6B	0.0350519	0.0272326	0	0	0	0.0229258	0.0239046	0.0292427	0.126059
ACTL7A	0	0.0293434	0.0256366	0.108376	0.0641689	0.0987828	0	0.0630094	0
ACTL7B	0	0	0	0	0	0.0504242	0.0262923	0.0321648	0
ACTL8	0.650069	0.52614	0.440913	0.270196	0.167889	0.166218	0.154015	0.117747	0.304684
ACTL9	0	0	0	0	0	0	0	0	0.0456574
ACTN1	9.228127	6.994638	6.803671	6.6204	6.467855	6.54017	4.0594213	4.102071	4.82541
ACTN1-AS1	0	0	0	0	0	0.0719567	0.0752481	0	0
ACTN2	0.0220373	0	0.0223623	0	0.0279624	0.00718284	0.00748218	0	0.0131697
ACTN3	0.0164432	0.0127173	0	0.033066	0.0278466	0.0321812	0.0235464	0.02806928	0.0393329
ACTN4	94.9064	76.0074	74.5732	66.4802	61.2783	65.0948	46.151	51.7045	54.9566
ACTR10	11.5615	10.8667	10.5058	9.21961	9.06076	9.52489	7.80634	8.02644	8.17662
ACTR1A	31.2274	23.7337	23.3441	20.5694	19.3141	19.7391	14.2621	17.0751	17.6697
ACTR1B	22.3732	21.0243	21.2679	18.1327	16.7709	16.5246	12.4794	13.9477	15.3383
ACTR2	212.92076	164.912818	160.100376	144.71319	125.690559	122.477264	93.041726	104.886127	106.41946
ACTR3	178.813	148.28	144.064	133.246	117.719	119.299	88.5473	99.4601	102.543
ACTR3B	3.097192	2.85821	2.782524	2.328818	2.34451	2.785264	2.190863	2.57257	2.51689
ACTR3BP2	0	0	0	0	0	0.0266934	0	0	0.0489211
ACTR3BP5	0	0	0	0	0	0	0	0	0
ACTR3C	1.192875	0.640247	0.717146	1.505983	0.874552	0.905975	1.369846	1.213867	0.97033
ACTR5	10.2464	8.06135	7.91138	7.40882	5.73002	7.20288	5.77061	6.19532	6.45336
ACTR6	14.32693	12.22157	10.99482	11.50057	9.20277	8.50012	8.18132	9.03534	8.54703
ACTR8	15.2493	12.3764	11.6729	11.2017	11.1095	11.5101	9.21021	10.3421	10.6178
ACTRT1	0	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0.0317806	0
ACTRT3	0.417437	0.364058	0.336105	0.673228	0.420479	0.596502	0.426338	0.499765	0.562343
ACVR1	1.19205	0.9303879	1.0526	0.747384	0.713238	0.9242759	0.742036	0.954401	0.876132
ACVR1B	2.735365	2.4159287	2.2597889	2.255259	1.874388	1.9619375	1.469350154394	1.828428	1.776789
ACVR1C	0.0500551	0.0952497	0.0448058	0.0857018	0.1219482	0.0863564	0.0949359	0.178725	0.1124171
ACVR2A	0.398761	0.520615	0.423728	0.507299	0.32908	0.465074	0.412091	0.53632	0.487498
ACVR2B	2.53013	2.35362	2.13119	1.86314	1.65224	1.84707	1.37407	1.41385	1.61684
ACVR2B-AS1	1.09305	0.843796	1.1305	0.9505	1.0178	1.07268	0.734135	0.972882	0.952661
ACVRL1	0.219808	0.314457	0.307985	0.397504	0.299455	0.434028	0.268764	0.329111	0.380962
ACY1	13.25424	12.287037	12.319632	9.894806	8.714344	7.504273	4.622176	5.877127	5.65187
ACY3	3.70793	2.95136	2.23381	3.2281	2.97526	3.06204	2.44563	2.71039	1.97168
ACYP1	8.23852	9.56707	7.80595	7.81164	6.17904	6.49673	7.32219	7.48766	7.84597
ACYP2	1.22098	1.12708	0.984007	1.81958	1.07782	1.62904	1.45213	1.4742	1.51982
ADA	17.8635	14.5588	15.2912	20.7781	20.9508	20.664	15.5744	18.4679	19.8608
ADAD1	0	0	0	0	0	0	0	0	0
ADAD2	0.025335	0.0392734	0.0649939	0.0456396	0.0429745	0.0878773	0	0	0.0536986
ADAL	2.857124	2.049339	2.294646	2.456652	2.410419	2.545805	2.158459	1.759172	1.98726
ADAM10	17.2337	14.3829	13.5894	14.2123	12.7884	13.5028	11.7322	13.6271	13.6077
ADAM11	0.15884	0.140223	0.191893	0.119054	0.23995	0.24408	0.238846	0.254418	0.216978
ADAM12	0	0	0	0	0.0250039	0.02550444	0.0476235	0.0269561	0.0370619
ADAM15	4.546761831	4.168014	4.790281	3.9378510564858	3.78926755117	3.861323238824	3.03693141390724	3.09876937868593	3.69679910125189
ADAM17	9.32768	7.22791	7.33433	7.12469	6.57731	7.11315	6.36933	6.80018	8.16653
ADAM18	0	0	0	0	0.0317586	0	0	0.0311847	0
ADAM19	63.3031	52.9153	52.4526	47.3314	44.0704	46.2039	37.4398	41.0973	42.8825
ADAM1A	2.9978	2.30547	2.13952	2.14229	2.09816	1.99122	1.45235	1.80621	1.39579
ADAM2	0	0	0	0	0	0	0	0	0
ADAM20	0.0731115	0.0707125	0.0247569	0.087256	0.154819	0.0954156	0.0621383	0.0912011	0.131194
ADAM20P1	0.133831	0.116451	0.192554	0.207598	0.184156	0.22919	0.216054	0.166895	0.0600261
ADAM21	0.0192111	0.0148679	0.0130123	0.0366887	0.0488255	0.0376125	0.0130643	0.0319581	0.0459694
ADAM21P1	0.0254555	0	0	0	0	0	0	0	0
ADAM22	0.961294	0.641301	0.823242000446017	0.71988025314	0.561626500115068	0.784848300228364	0.79819210932628	0.934327	0.92539803775
ADAM23	0.0332957	0.141638	0.157805	0.0635666	0.0986795	0.0977477	0.124477	0.0968826	0.0995584
ADAM28	0.894534	0.696252	0.831043	1.178742	0.918855	0.934019	0.561204	0.808145	0.8028465
ADAM29	0.0484693	0.0124946	0	0.0154216	0.0136797	0.0210791	0.042759	0	0.0193227
ADAM30	0	0	0	0	0	0.0110836	0	0	0
ADAM32	0.0749606	0.0290036	0.0253848	0.089468	0	0.0489175	0.0382291	0.046758	0
ADAM33	0.254789	0.424121	0.299354	0.242001	0.2627	0.394999	0.243007	0.35303164759	0.409525
ADAM3A	0.285344	0.252455	0.28996	0.35037200431499	0.215962	0.266073	0.12477	0.322175	0.228718
ADAM5	0	0	0	0	0	0	0	0	0
ADAM6	0	0	0.0193872	0	0	0	0.0778802	0.0476326	0
ADAM7	0	0	0	0	0	0	0	0	0
ADAM8	10.071135	9.95237	8.922284	9.259758	8.897951	10.266438	10.64732	10.803756	12.062433
