OCI-Ly1_DMSO_rep1	OCI-Ly1_DMSO_rep2	OCI-Ly1_DMSO_rep3	OCI-Ly1_JIB04_150nM_rep1	OCI-Ly1_JIB04_150nM_rep2	OCI-Ly1_JIB04_150nM_rep3	OCI-Ly1_JIB04_500nM_rep1	OCI-Ly1_JIB04_500nM_rep2	OCI-Ly1_JIB04_500nM_rep3
ABHD15	3.11175	3.09639	2.94178	3.19089	3.2101	3.33125	4.65872	5.46805	4.71566
ABHD16A	20.661999146	16.404184	17.9351782	20.444473	19.80186	20.19106	26.8468	30.123787	30.106383
ABHD16B	4.46716	4.67064	4.63872	4.06827	4.15474	4.48334	3.07535	4.7634	3.75616
ABHD2	9.422236	9.26618	9.60362	9.370346	9.57968	9.351521	8.951189	9.953596	9.73436
ABHD3	52.438	51.1193	52.3213	56.6507	60.5543	61.4188	88.924	88.4278	91.463
ABHD4	2.74075	2.42471	2.3394	3.15978	3.14694	3.23035	5.51325	7.49729	6.6085
ABHD5	3.33444	2.94714	3.64094	2.92718	3.29887	3.58549	2.31275	2.41791	3.08797
ABHD6	5.28577	6.15358	4.87571	4.9189	5.31519	5.5608	5.71215	6.41516	6.03143
ABHD8	7.55627	7.41514	6.97095	7.85005	7.87529	7.72131	8.69754	9.68073	8.34913
ABI1	55.829252	51.200918520309	57.816698	54.227756074	58.858501	62.733976	65.5924562481	69.929675	70.654562
ABI2	13.9728	14.4595	15.3329	14.4107	15.3596	14.9328	13.727	15.2709	16.7597
ABI3	15.611489	15.889575	14.450166	14.791732	11.3603	13.58228	5.10616	6.2989	6.03823
ABI3BP	0.135689	0.0660196	0.0952869	0.0580987	0.0965785	0.191879	0.0997714	0.03748	0.116492
ABL1	9.363505	8.873955	9.031243	9.629153	8.23794	9.23315	10.860252	12.9807	12.090337
ABL2	8.07640808	7.360533	8.4890058	7.944758	6.954701	7.195390342	8.905283	10.0758140890923	7.756815
ABLIM1	30.5765875	33.3326876	35.4850373	34.3090875	33.5932113	34.285396	42.13296	42.565126	43.828611
ABLIM2	3.698975	3.54674	3.898590894158	4.087191	3.99545	3.984234	6.903851	6.637853	5.902075
ABLIM3	0	0	0	0	0	0	0.02811	0	0
ABO	0	0	0	0	0	0	0.0275792	0	0
ABP1	0	0	0.0225644	0	0	0	0.0343816	0.023662	0.0200596
ABR	28.709768	26.699477	29.413304	29.288876	25.069256	28.542264	22.78369	26.2874982	24.38527
ABRA	0.528528	0.391096	0.232752	0.427744	0.516867	0.398227	0.301278	0.706499	0.37721
ABRACL	70.0907	94.5465	85.4767	78.4007	87.596	86.5257	68.6576	73.0661	66.7094
ABT1	32.3999	30.3006	34.6755	33.2014	33.1685	36.5111	30.1409	31.3419	32.1715
ABTB1	1.25475	0.39208	0.565513	1.032036	0.716557	0.575845	1.858418	1.391349	1.519184
ABTB2	0.812297	0.435242	0.96399	0.697323	0.74651	0.726994	1.16292	1.09068	1.26159
ACAA1	16.136562	17.692697	16.18733	16.43013	14.991694	13.851087	10.991438	11.80899	13.70638
ACAA2	77.7273	80.0727	77.3977	74.9808	73.2631	76.7353	72.2608	74.9901	72.5569
ACACA	22.461668	22.949321	22.338926	22.61762	20.26007	22.22373	19.578663	20.1588213	20.74388
ACACB	1.79894	1.93824	1.9978	1.97645	1.68567	1.93165	2.84552	2.93627	3.68831
ACAD10	3.9857	3.55503	4.07049	4.34544	4.06933	4.06882	4.952174	4.91953	4.81589
ACAD11	8.62694	9.19457	9.61496	9.80784	9.81377	7.97009	18.5325	18.9853	17.3595
ACAD8	7.69488	6.87219	6.06372	7.81561	6.58007	6.11806	8.45438	8.28427	7.71659
ACAD9	39.82483	39.64697	42.2409	37.61637	37.90028	38.84816	25.6812	28.2383	27.1031
ACADL	0.0418651	0	0.0440835	0.0215242	0.0223422	0.0592129	0.100753	0.0231143	0.0587854
ACADM	129.064081	144.87577	149.26636	132.18138	142.28933	160.0324	122.513146	129.47431	125.69822
ACADS	12.992	12.6844	11.7482	12.9369	13.5679	10.9169	13.5186	17.4349	16.0804
ACADSB	19.392	17.3909	21.8628	19.0337	18.4112	20.4638	15.2401	16.2063	16.3465
ACADVL	65.72065	64.131830242213	66.2354	70.675989	66.54608	72.74029	63.65116	71.8556	65.653148
ACAN	0	0	0	0	0	0	0.0326626	0.0128592	0.0163495
ACAP1	36.4134	34.5061	35.4997	37.72	33.2564	31.4653	36.6263	41.4706	36.3428
ACAP2	33.6318	34.2492	39.8479	32.8393	39.0705	41.3387	38.792	42.1104	41.8115
ACAP3	7.38528	6.27024	7.86438	9.23377	7.58052	7.39706	8.90249	9.47606	9.56819
ACAT1	97.2028	96.664	97.3966	96.7985	97.3819	105.547	79.347	82.4321	85.448
ACAT2	129.548	119.988	137.466	128.52	122.167	132.165	125.89	123.934	129.317
ACBD3	29.1762	30.0226	34.4258	28.4569	32.2938	34.6776	36.0998	35.2205	35.1809
ACBD4	2.763817	1.921976	1.544714	2.31426800525991	2.47116	2.529174	2.615443	1.856117	3.000354
ACBD5	11.513097	13.5461	13.31115	12.6087971	14.31635	14.117072	16.114797	16.876391	15.606847
ACBD6	41.0056	40.3972	42.1359	40.6824	40.7125	43.793	51.4443	55.0402	51.305
ACBD7	8.98162	8.88082	9.94737	9.43988	9.66479	10.1057	8.68859	9.89297	10.0777
ACCS	1.991575	1.609648	1.73471	2.5283	1.8188788	1.61078	1.5273684	2.19346	2.15438
ACCSL	0	0	0	0	0	0	0	0	0.0274941
ACD	15.8403	17.109	15.358012	16.531211	16.0910796	14.4152649	18.23483	22.66124	18.537759
ACE	0.0818032	0.0477631	0.0861525	0.19381	0.0873236	0.288869	0.19195555	0.2168507	0.104482
ACE2	0	0	0	0	0	0	0.0233771	0	0
ACER1	0	0	0	0	0	0	0	0	0.0491329
ACER2	1.08704	0.846273	1.25923	1.28519	1.41174	1.58864	1.78761	1.88085	1.89976
ACER3	4.31238	4.02968	5.23333	5.00671	5.04004	5.41148	5.864	6.21226	6.53347
ACHE	0.0348741	0.104499	0.0502476	0	0.0558396	0.0337518	0.139877	0.079033	0.0223341
ACIN1	85.271400496175	81.4156000973135	83.3282000003044	83.7641101	78.741028596	84.854400405393	76.047000392643	88.12574	81.48024
ACLY	139.6926	142.9887	141.6889	140.6461	130.2588	136.8237	125.269	129.6729	124.3449
ACMSD	0.581808	0.718738	0.470845	0.32264	0.334143	0.316645	0.0718197	0	0.3766
ACN9	30.2111	32.4287	37.572	28.6416	31.8842	36.951	34.158	34.7976	37.8751
ACO1	17.418	18.0704	16.6018	16.8225	16.443	16.1841	18.4638	20.6881	19.3165
ACO2	83.0799	78.0307	76.4308	83.966	80.5184	81.3033	76.0115	88.9605	81.0715
ACOT1	1.27084	0.693594	2.66893	1.21487	1.60909	0.794135	2.09128	1.82437	2.02225
ACOT11	0.53187	0.268684	0.415224	0.513884	0.1575335	0.3804009	0.253129	0.174148	0.1286609
ACOT12	0	0	0.0842245	0	0	0	0.0427881	0	0.0748697
ACOT13	19.801071	21.82595	23.74103	19.387886	21.85942	23.11616	17.245228	16.514563	18.04352
ACOT2	14.41939	14.78045	12.3974	14.33918	13.12348	15.29125	17.48314	17.38747	17.06455
ACOT4	1.02725	1.20938	1.08119	1.22763	0.954607	1.07823	2.5788	2.08412	1.82904
ACOT6	0	0.0844004	0	0	0.123262	0.245451	0.0463868	0	0
ACOT7	33.561782	32.256598	29.79969744215	36.636526	32.108594	31.25904	31.80133327896	35.91290610631	34.30417
ACOT8	25.3226	19.0626	22.5827	22.9708	19.9199	22.0274	27.4048	28.8653	27.6518
ACOT9	11.06907	9.60226	12.14592	10.42802	11.56501	10.534113	11.21382	11.1639	12.74612
ACOX1	14.40111	14.4795	14.489182	14.17449	14.932118	14.371807	13.74116	14.42248	14.74474
ACOX2	0.0453919	0	0	0	0.024223	0	0	0	0
ACOX3	5.6173	5.15651	4.85903	6.20914	6.21007	5.74798	9.77711	6.75219	9.15281
ACOXL	0.41875	0.353893	0.556953	0.430617	0.352842	0.280554	0.636493	0.608372	0.515754
ACP1	158.58201	156.90387	174.45863	161.66956	174.36751	181.87231	180.6809	177.23067	192.67976
ACP2	9.19399	7.7344	8.55307	7.22877	7.21087	7.058303	7.092609	9.28932	9.42388
ACP5	3.510385	4.281418	3.750454	4.580711	3.013334	3.18887	4.587133	6.277736	4.944131
ACP6	3.13731	2.28995	2.64823	3.44098	2.87399	3.30763	4.48779	6.23896	4.45875
ACPL2	1.096371	0.580634	0.847931	0.829755	1.350251	1.433012	1.867945	2.27698	2.200935
ACPP	1.0253242	1.222258	1.169861	0.711515	0.702316	0.883722	0.672838	0.265371	0.436148
ACPT	6.24658	4.1998	5.70786	5.83926	5.34816	5.23332	4.97897	4.80426	6.14896
ACR	0	0	0	0	0	0	0	0	0
ACRBP	3.08028	2.43395	2.82614	3.28516	2.44263	2.99813	2.28981	2.55764	2.27419
ACRC	1.68064	2.12298	1.59982	1.66116	1.69057	1.80548	2.95559	3.26646	3.0565
ACRV1	1.58607	1.12274	1.3381718	0.946570875928	1.50321	1.29228	1.1184	1.48022767	1.61832
ACSBG1	0.156314923	0.101409705	0.27436562	0.17855081	0.18539586	0.14738056	0.166483	0.67139181	0.19513848
ACSBG2	1.37602	0.781122	1.08677	1.02176	1.01997	1.51366	0.996514	0.802012	1.12719
ACSF2	1.87682	1.78081	2.02549	2.19559	2.12825	1.99099	3.9711	4.22193	3.75491
ACSF3	53.122789374291	52.968030507552	49.92664	51.254586966418	45.7785320021856	47.299830002452	54.915948482877	60.071650664265	56.008468724
ACSL1	17.1665	16.7374	17.2215	16.034	17.3695	16.9725	19.6302	19.1418	20.336
ACSL3	36.3743	38.9115	42.4269	36.0973	41.5909	42.515	43.2252	46.5466	43.7822
ACSL4	21.40346	22.58438	24.64215	20.76393	22.8986	24.81904	20.05968	21.3412	22.21074
ACSL5	24.4159	26.655494	26.142526	25.660411	27.674291	28.929257	35.57961	34.0877	36.09531
ACSL6	0.6336943	0.475993	0.706893	0.578028	0.644615	0.6539965	0.572154008115413	0.6434471990636	0.643331000375196
ACSM1	0	0	0	0	0	0	0	0.113892	0.0241392
ACSM2A	0.430242	0.380841	0.238129	0.232453	0.434574	0.241352	0.249657	0.134474	0.146566
ACSM2B	0	0	0	0	0	0	0.0300546	0	0
ACSM3	0.150204	0.1516178	0.109305	0.0356296	0.1108063	0.0489775	0.510232	0.230109	0.4918178
ACSM4	0.400568	0.314871	0.162169	0.253635	0.295904	0.174357	0.148323	0.306034	0.518935
ACSM5	0	0	0	0	0	0	0	0	0
ACSS1	0.47132545	0.4048551	0.51852845176	0.572425	0.3575631	0.763717	2.129788	1.78976	1.723619763
ACSS2	1.29757	1.439497444302	1.63982	1.8806410461052	1.69905043543	1.541500254702	2.698713	2.77072	2.103314
ACSS3	0.447855	0.601437	0.326735	0.282509	0.330313	0.194996	0.164775	0.245617	0.351879
ACTA1	0.336963	0.16629	0.0791496	0.274298	0.163002	0.0529895	0.178428	0.081768	0
ACTA2	0.62993	1.264508	0.62143	1.0660711	0.965978	1.225508	0.906066	1.172477	0.928853
ACTB	2494	2466.19	2502.28	2330.63	2260.79	2419.44	1677.63	1833.03	1775.21
ACTBL2	0	0	0	0	0	0	0	0	0
ACTC1	0	0	0	0	0	0	0	0	0.012927
ACTG1	1098.46706	1137.599893	1056.99405	1130.661072	1099.32977	1023.22366	862.94254	938.8889	928.37368
ACTG1P4	0.669681	0.351524	0.608551	0.715595	0.68526	0.719084	0.729799	0.649737	0.678376
ACTG2	0.0936337	0.273407	0.0492506	0.048222	0.0499315	0	0.187827	0.154844	0.194776
ACTL10	3.8644	3.20176	3.90345	3.62582	3.17659	3.43487	2.66029	2.79583	2.6391
ACTL6A	120.29828	121.63501	123.59769	123.47463	118.1413	127.89252	122.39609	123.165274	126.28924
ACTL6B	0	0	0	0	0	0.0503363	0.114181	0	0.033281
ACTL7A	0.191594	0.111883	0.12097	0	0.0817565	0.271078	0.153721	0.16907	0.32255
ACTL7B	0.039118	0	0.0823263	0	0	0	0.0313857	0.086294	0
ACTL8	0.0286749	0	0	0.0885011	0.0305989	0	0.0690142	0.063297	0.214658
ACTL9	0	0	0	0	0	0	0	0	0
ACTN1	0	0	0.05787782	0.0847374	0.014665628	0.019427286	0.746208	0.33387424	0.3089632
ACTN1-AS1	0	0	0	0	0	0	0.0892621	0	0
ACTN2	0	0.016297	0	0	0.0119203	0	0.0268677	0	0.0104569
ACTN3	0.0166682	0	0.01848896	0.0514037	0.0355858	0.0968054	0.0668541	0.0184103	0.109246
ACTN4	52.6191	48.5266	51.5961	55.3221	50.4732	53.8676	53.7026	62.7085	55.7893
ACTR10	32.7945	36.4292	37.0217	36.0657	38.7678	39.7337	49.5049	49.2607	50.8098
ACTR1A	32.4126	30.2824	32.3732	33.2484	30.415	33.0268	30.904	36.1546	33.5609
ACTR1B	43.3571	42.9971	40.3145	42.1507	43.0481	35.25	45.2259	47.8948	47.1318
ACTR2	135.18046	145.85578	152.700131	135.48186	151.06015	158.17002	117.701826	127.304025	120.91261
ACTR3	321.644	353.597	363.082	313.68	342.689	359.872	241.846	252.169	253.314
ACTR3B	9.81385	9.96057	10.560937	8.76449	8.593492	9.54121	9.310639	8.765831	8.16081
ACTR3BP2	0	0	0.0435714	0	0.044172	0	0	0	0
ACTR3BP5	0.0328469	0.192607	0	0	0	0.0929372	0.158116	0	0.0307297
ACTR3C	1.691219	1.37601	2.025684	0.904008	1.746769	1.292677	2.491952	1.61126	1.900199
ACTR5	20.7374	19.618	20.2638	20.4154	18.2952	19.395	18.964	18.9506	19.6683
ACTR6	36.88899	47.45372	42.81254	37.22351	50.65677	48.33682	43.28565	44.76262	44.45452
ACTR8	19.5053	17.2839	20.5737	20.2499	20.4026	21.4189	18.692	19.7141	19.5296
ACTRT1	0	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0	0
ACTRT3	1.72023	1.35217	1.78315	2.0145	1.94874	2.58305	2.90871	3.65168	2.55102
ACVR1	0.101431	0.1843	0.265925	0.278148	0.2267834	0.119541	0.289378	0.478087	0.405286
ACVR1B	2.094388	2.169078	2.072978	2.577561	2.478751	2.403061	2.436914	3.076091	2.784444
ACVR1C	0.00591473	0	0.0186948	0	0.01210890512772	0	0.0227390026817	0.05723180206385	0.02655870410684
ACVR2A	0.962876	1.88637	0.904057	0.971476	0.883871	0.829715	1.44237	1.40295	1.58979
ACVR2B	1.71083	2.16549	2.17927	2.15073	2.21227	1.98256	2.53401	2.79071	2.8251
ACVR2B-AS1	1.44269	1.74081	1.22299	0.936006	1.23179	1.2333	0.96635	0.94391	0.880809
ACVRL1	0.507696	0.544863	0.717636	0.446923	0.546549	0.404114	0.489316	0.622336	0.440279
ACY1	3.18745	4.73777	4.557508	5.408135	3.275726	5.748375	3.157036	3.52178	2.96948
ACY3	0.213954	0.499778	0.270132	0.352508	0.182572	0.363289	0.0343337	0.18875	0.0800251
ACYP1	46.68346	42.9101	51.4664	47.74928	50.8769	61.7125	54.3014	48.00074	58.5124
ACYP2	6.84429	10.1937	8.50508	7.4751	9.2595	6.95509	9.43549	10.7367	9.74864
ADA	38.9661	33.685	34.1615	40.6182	33.5308	35.0588	29.0665	31.3003	30.2304
ADAD1	0	0	0	0	0.0298278	0	0	0	0
ADAD2	0.12849	0.075027	0.0718582	0.0935787	0.121397	0.0965297	0.145997	0.340417	0.120251
ADAL	17.29059	20.53632	19.33249	20.3895	21.00967	21.52318	24.02045	23.96278	26.1603
ADAM10	45.6625	47.244	48.3145	48.5519	52.4116	54.7421	55.0928	56.4965	57.7237
ADAM11	0.252928	0.268499	0.278534	0.37806	0.45415	0.373926	0.590206	0.609711	0.376856
ADAM12	0.0299389	0	0	0	0	0	0	0	0.0420518
ADAM15	2.168160055	1.33777362497	2.24405700105641	2.604562	2.5435846	2.155788226	2.31568500023009	3.321381	3.351161
ADAM17	36.1313	35.6777	42.535	37.2383	39.6694	41.1781	42.8673	43.1362	46.0738
ADAM18	0	0	0	0.0390469	0	0	0	0.209206	0.0354772
ADAM19	3.65699	4.0315	3.91768	3.32908	3.45169	3.7528	1.51617	1.94397	2.17535
ADAM1A	5.04097	3.90498	3.87127	4.71479	4.72039	4.47841	4.56934	4.54226	5.04326
ADAM2	0.0393009	0	0.0206927	0	0	0	0	0	0
ADAM20	0.185304	0.108196	0.370766	0.247665	0.316474	0.157246	0.416216	0.286506	0.399016
ADAM20P1	0.16958	0.0990146	0.214311	0.12203	0.199123	0.119916	0.258464	0.13111	0.1429
ADAM21	0.077911	0.0284322	0.0615329	0.0801056	0.0415806	0.0550961	0.015625	0.0430195	0.182346
ADAM21P1	0	0	0	0	0	0	0	0	0.0241647
ADAM22	11.97968928	11.8607990091351	13.876602	12.1639508118	13.80485	13.924729228	16.3870139	17.14960927	16.33958
ADAM23	0.0337517	0.0246337	0.0533183	0.0693931	0.0900722	0.0954675	0.121837	0.29823	0.221212
ADAM28	3.087416	2.272826	2.812076	2.105593	2.61214	3.01971	1.672486	1.800382	2.144743
ADAM29	0.196525	0.119528	0.431196	0.3367	0.332164	0.231613	0.179051	0.126623	0.0920057
ADAM30	0	0	0	0	0	0	0	0	0.0322485
ADAM32	2.69795	1.99686	3.22127	3.34035	3.99521	3.73515	2.63676	3.29423	4.07333
ADAM33	0.427305	0.55764	0.502283	0.392215	0.395491	0.531343	0.459713	0.624187	0.451178
ADAM3A	0.309996	0.512848	0.217617	0.148751	0.264699	0.379989	0.38131	0.410773	0.437701
ADAM5	0.0631419	0.184354	0.166154	0.0649719	0.505296	0.267974	0.126644	0.104516	0.206765
ADAM6	0	0	0	0	0.0618886	0	0	0	0.0542699
ADAM7	0	0	0	0	0	0	0	0	0
ADAM8	0.566913	0.21544	0.17271	0.582644	0.2116872	0.2886002	0.585402	0.4188028	0.806216
ADAM9	12.844286	13.48579	15.842903	13.422263	14.286315	15.556768	17.369871	18.0419	17.441735
ADAMDEC1	0.117868	0	0.0992816	0	0.125796	0	0.0567341	0	0.0661936
ADAMTS1	0	0	0	0	0	0	0	0	0
ADAMTS10	0	0	0	0	0	0.0169158	0.00959527	0.0132161	0.0112029
ADAMTS12	0	0	0	0	0	0	0.0326397	0.0112405	0
