Sample_Type	Vendor_ID	Compound_Name	SMILES	Screened_Concentration	Peptide_Lum_Rep1	Peptide_Lum_Rep2	Peptide_Avg_Lum	Peptide_Zscore_Rep1	Peptide_Zscore_Rep2	Peptide_Avg_Zscore	Peptide_Hit_Rep1	Peptide_Hit_Rep2	Nuc_Lum_Rep1	Nuc_Lum_Rep2	Nuc_Avg_Lum	Nuc_Zscore_Rep1	Nuc_Zscore_Rep2	Nuc_Avg_Zscore	Nuc_Hit_Rep1	Nuc_Hit_Rep2	Peptide_Screen_Hit	Nuc_Screen_Hit	Hit_Type
Primary Screen Hit	ChemBridge 49651708	N-{[4-(hydroxymethyl)tetrahydro-2H-pyran-4-yl]methyl}-N'-1H-indazol-6-yl-N-methylurea	C(=O)(Nc(ccc(c1[nH]2)cn2)c1)N(C)CC(CC3)(CCO3)CO	533.3 uM	5723	8109	6916	-18.55	-21.89	-20.22	Y	Y	129	383	256	-10.58	-10.32	-10.45	Y	Y	Y	Y	Peptide & Nucleosome
Primary Screen Hit	ChemBridge 41719250	N-[4-(5-methyl-4H-1,2,4-triazol-3-yl)phenyl]-1-phenyl-1H-1,2,3-triazole-4-carboxamide	c(C(=O)Nc(cc1)ccc1c2[nH]c(nn2)C)(cn(n3)c4ccccc4)n3	533.3 uM	37420	53926	45673	-11.66	-11.34	-11.50	Y	Y	13278	17355	15316.5	-8.66	-8.26	-8.46	Y	Y	Y	Y	Peptide & Nucleosome
Primary Screen Hit	ChemBridge 99085151	N-[2-({[ethyl(pyridin-4-ylmethyl)amino]carbonyl}amino)ethyl]-N-methylmethanesulfonamide	S(C)(=O)(=O)N(C)CCNC(=O)N(CC)Cc(cc1)ccn1	533.3 uM	11814	13946	12880	-17.22	-20.55	-18.89	Y	Y	14501	18314	16407.5	-8.48	-8.14	-8.31	Y	Y	Y	Y	Peptide & Nucleosome
Primary Screen Hit	ChemBridge 16777272	N-isopropyl-N'-[cis-4-(4-quinolinylmethyl)tetrahydro-3-furanyl]-4,6-pyrimidinediamine	c(N[C@H]1COC[C@H]1Cc2ccnc(cccc3)c23)(c4)ncnc4NC(C)C	533.3 uM	26761	43230	34995.5	-13.97	-13.80	-13.89	Y	Y	15836	11913	13874.5	-8.28	-8.92	-8.60	Y	Y	Y	Y	Peptide & Nucleosome
Primary Screen Hit	ChemBridge 39379054	N-(2-hydroxyethyl)-N'-{2-[(1S,9aR)-octahydro-2H-quinolizin-1-yl]ethyl}-N-(2-thienylmethyl)urea	C(NCC[C@@H]1CCCN2[C@]1([H])CCCC2)(=O)N(CCO)Cc3cccs3	533.3 uM	28450	45219	36834.5	-13.61	-13.35	-13.48	Y	Y	17080	19951	18515.5	-8.10	-7.95	-8.02	Y	Y	Y	Y	Peptide & Nucleosome
Primary Screen Hit	ChemBridge 14074688	3-{[rac-(1S,5R)-3-(pyridin-4-ylmethyl)-3,6-diazabicyclo[3.2.2]non-6-yl]carbonyl}-4,5,6,7-tetrahydro-2,1-benzisoxazole	c1(onc(CCCC2)c12)C(=O)N3C[C@@H](CC[C@@H]3C4)CN4Cc(cc5)ccn5	533.3 uM	25431	32659	29045	-14.26	-16.24	-15.25	Y	Y	22589	16329	19459	-7.29	-8.39	-7.84	Y	Y	Y	Y	Peptide & Nucleosome
Primary Screen Hit	ChemBridge 90512907	1-(2-methoxyethyl)-4-[(5,6,7,8-tetrahydropyrido[4',3':4,5]thieno[2,3-d]pyrimidin-4-ylamino)methyl]pyrrolidin-2-one dihydrochloride	c1(ncnc2NCC(CC(N3CCOC)=O)C3)c2c(c(C4)s1)CCN4	533.3 uM	42435	50175	46305	-10.57	-12.20	-11.39	Y	Y	4606	7768	6187	-9.93	-9.43	-9.68	Y	Y	Y	Y	Peptide & Nucleosome
Primary Screen Hit	ChemBridge 45866288	N-{4-[(3-methylbutanoyl)amino]phenyl}piperidine-3-carboxamide hydrochloride	C(=O)(C(CCCN1)C1)Nc(cc2)ccc2NC(CC(C)C)=O	533.3 uM	49093	56741	52917	-9.12	-10.69	-9.91	Y	Y	19818	22682	21250	-7.70	-7.61	-7.66	Y	Y	Y	Y	Peptide & Nucleosome
Primary Screen Hit	ChemBridge 27312380	8-[(5E)-5-heptenoyl]-2-(4-pyridinylmethyl)-2,8-diazaspiro[4.5]decane-4-carboxylic acid	C1(CN(CC1(CC2)CCN2C(CCC\C=C\C)=O)Cc(cc3)ccn3)C(O)=O	533.3 uM	4627	8261	6444	-18.78	-21.86	-20.32	Y	Y	4699	8639	6669	-9.91	-9.32	-9.62	Y	Y	Y	Y	Peptide & Nucleosome
Primary Screen Hit	ChemBridge 11117948	N-[(3-tert-butyl-1H-pyrazol-5-yl)methyl]-N-methyl-N'-(2-oxopiperidin-3-yl)urea	C(=O)(N(C)Cc([nH]1)cc(n1)C(C)(C)C)NC2CCCNC2=O	533.3 uM	29775	24763	27269	-13.32	-18.06	-15.69	Y	Y	16378	18018	17198	-8.20	-8.18	-8.19	Y	Y	Y	Y	Peptide & Nucleosome
Primary Screen Hit	ChemBridge 85951184	N'-[3-(dimethylamino)propyl]-N-(1,4,5,6,7,8-hexahydrocyclohepta[c]pyrazol-3-ylmethyl)-N-methylurea	c1(CN(C)C(NCCCN(C)C)=O)c2c([nH]n1)CCCCC2	533.3 uM	69274	83449	76361.5	-4.74	-4.54	-4.64	Y	Y	3464	6133	4798.5	-10.09	-9.62	-9.86	Y	Y	Y	Y	Peptide & Nucleosome
Primary Screen Hit	ChemBridge 56369332	N-methyl-4-({methyl[(2-methyl-1,2,3,4-tetrahydro-3-isoquinolinyl)methyl]amino}methyl)benzenesulfonamide	S(NC)(=O)(=O)c1ccc(cc1)CN(C)CC2Cc(cccc3)c3CN2C	533.3 uM	20935	12362	16648.5	-15.24	-20.91	-18.08	Y	Y	10167	6858	8512.5	-9.11	-9.54	-9.32	Y	Y	Y	Y	Peptide & Nucleosome
Primary Screen Hit	ChemBridge 79193160	N-[3-(dimethylamino)-1-phenylpropyl]-2-(5-methyl-3-oxo-2,3-dihydro-1H-pyrazol-4-yl)acetamide	C1(CC(=O)NC(c2ccccc2)CCN(C)C)=C(C)NNC1=O	533.3 uM	49105	68347	58726	-9.12	-8.02	-8.57	Y	Y	948	1629	1288.5	-10.46	-10.17	-10.32	Y	Y	Y	Y	Peptide & Nucleosome
Primary Screen Hit	ChemBridge 34843398	N-methyl-N'-[2-(2-oxopiperidin-1-yl)ethyl]-N-[2-(pyrrolidin-1-ylmethyl)benzyl]urea	C(NCCN1CCCCC1=O)(=O)N(C)Cc2ccccc2CN3CCCC3	533.3 uM	16412	8775	12593.5	-16.22	-21.74	-18.98	Y	Y	4458	6475	5466.5	-9.95	-9.58	-9.77	Y	Y	Y	Y	Peptide & Nucleosome
Primary Screen Hit	ChemBridge 12095467	N-[4-methoxy-3-(2-pyridin-4-yl-1H-imidazol-1-yl)phenyl]acetamide	n1(ccnc1c(cc2)ccn2)c3c(OC)ccc(c3)NC(C)=O	533.3 uM	34072	42577	38324.5	-12.39	-13.95	-13.17	Y	Y	25544	42373	33958.5	-6.86	-5.22	-6.04	Y	Y	Y	Y	Peptide & Nucleosome
Primary Screen Hit	ChemBridge 39002974	2-(3,4-dihydroisoquinolin-2(1H)-yl)-N-[trans-3-(pyridin-2-yloxy)tetrahydro-2H-pyran-4-yl]acetamide	N(CCc(c12)cccc1)(CC(=O)N[C@@H]3CCOC[C@H]3Oc4ccccn4)C2	533.3 uM	9528	10481	10004.5	-17.72	-21.35	-19.53	Y	Y	173	265	219	-10.58	-10.34	-10.46	Y	Y	Y	Y	Peptide & Nucleosome
Primary Screen Hit	ChemBridge 76230449	N-{[3-(4-methoxyphenyl)-1H-pyrazol-4-yl]methyl}-2-methyl-3-phenylcycloprop-2-ene-1-carboxamide	C1(c2ccccc2)=C(C1C(=O)NCc3c[nH]nc3c4ccc(cc4)OC)C	533.3 uM	61690	80430	71060	-6.38	-5.23	-5.81	Y	Y	14592	28434	21513	-8.46	-6.92	-7.69	Y	Y	Y	Y	Peptide & Nucleosome
Primary Screen Hit	ChemBridge 19952426	N-(3-methylcinnolin-5-yl)-N'-(5-oxo-1-propylpyrrolidin-3-yl)urea	C1(=O)CC(CN1CCC)NC(=O)Nc2cccc3c2cc(C)nn3	533.3 uM	63222	59901	61561.5	-6.05	-9.96	-8.01	Y	Y	15024	23092	19058	-8.40	-7.56	-7.98	Y	Y	Y	Y	Peptide & Nucleosome
Primary Screen Hit	ChemBridge 55679687	(3aS*,6aS*)-2-[4-(1,3-dihydro-2H-isoindol-2-yl)butanoyl]-5-methylhexahydropyrrolo[3,4-c]pyrrole-3a(1H)-carboxylic acid diformate	[C@](C1)(C(O)=O)(C2)[C@@H](CN1C)CN2C(CCCN(Cc3c4cccc3)C4)=O	533.3 uM	10804	12059	11431.5	-17.44	-20.98	-19.21	Y	Y	478	659	568.5	-10.53	-10.29	-10.41	Y	Y	Y	Y	Peptide & Nucleosome
Primary Screen Hit	ChemBridge 52875488	N-[(6-fluoro-1H-benzimidazol-2-yl)methyl]-N-methyl-2-[methyl(pyridin-4-ylmethyl)amino]acetamide	c1(CN(C)C(=O)CN(C)Cc(cc2)ccn2)[nH]c3c(ccc(F)c3)n1	533.3 uM	4205	6183	5194	-18.88	-22.34	-20.61	Y	Y	2962	4608	3785	-10.17	-9.81	-9.99	Y	Y	Y	Y	Peptide & Nucleosome
Primary Screen Hit	ChemBridge 72091797	N-[2-methoxy-5-(4H-1,2,4-triazol-4-yl)phenyl]-2-methyl-1,3-benzothiazole-5-carboxamide	n(c(c1)c(s2)ccc1C(=O)Nc(c(OC)ccc3n(cnn4)c4)c3)c2C	533.3 uM	43432	51493	47462.5	-10.35	-11.90	-11.13	Y	Y	32049	39765	35907	-5.90	-5.54	-5.72	Y	Y	Y	Y	Peptide & Nucleosome
Primary Screen Hit	ChemBridge 47795572	3-isoquinolin-5-yl-5-(morpholin-4-ylsulfonyl)benzoic acid	S(=O)(=O)(N(CC1)CCO1)c(cc(cc2c3cccc(cn4)c3cc4)C(O)=O)c2	533.3 uM	46300	52064	49182	-9.73	-11.77	-10.75	Y	Y	11201	20762	15981.5	-8.96	-7.85	-8.40	Y	Y	Y	Y	Peptide & Nucleosome
Primary Screen Hit	ChemBridge 23528588	N-cyclopropyl-N-(pyridin-4-ylmethyl)-N'-1,3,4-thiadiazol-2-ylsuccinamide	c1(nncs1)NC(CCC(=O)N(Cc(cc2)ccn2)C3CC3)=O	533.3 uM	32558	38028	35293	-12.71	-15.00	-13.86	Y	Y	27422	36719	32070.5	-6.58	-5.91	-6.25	Y	Y	Y	Y	Peptide & Nucleosome
Primary Screen Hit	ChemBridge 30262461	N~1~-[(3R*,4R*)-3-hydroxy-1-(pyridin-2-ylcarbonyl)piperidin-4-yl]-N~2~-methyl-N~2~-(pyridin-4-ylmethyl)glycinamide	N1(CC[C@H]([C@H](O)C1)NC(CN(C)Cc(cc2)ccn2)=O)C(=O)c3ccccn3	533.3 uM	24997	30657	27827	-14.36	-16.70	-15.53	Y	Y	14270	20377	17323.5	-8.51	-7.89	-8.20	Y	Y	Y	Y	Peptide & Nucleosome
Primary Screen Hit	ChemBridge 97033877	4-({[[3-(3,5-dimethyl-1H-pyrazol-1-yl)benzyl](methyl)amino]carbonyl}amino)butanoic acid	n1(c2cccc(c2)CN(C)C(NCCCC(O)=O)=O)c(C)cc(C)n1	533.3 uM	61505	60270	60887.5	-6.42	-9.88	-8.15	Y	Y	33005	36438	34721.5	-5.76	-5.94	-5.85	Y	Y	Y	Y	Peptide & Nucleosome
Primary Screen Hit	ChemBridge 66869809	cis-1-(4-ethoxy-3-methoxybenzyl)-4-(4-pyridinylmethyl)-3-pyrrolidinol	N(Cc(ccc(c1OC)OCC)c1)(C[C@@H]([C@@H]2Cc(cc3)ccn3)O)C2	533.3 uM	63461	98486	80973.5	-12.18	-9.96	-11.07	Y	Y	43616	83692	63654	-5.77	-3.90	-4.84	Y	Y	Y	Y	Peptide & Nucleosome
Primary Screen Hit	ChemBridge 24943019	N-[4-(difluoromethoxy)phenyl]-4-(pyridin-4-ylmethyl)-1,4-diazepane-1-carboxamide	C(=O)(Nc(cc1)ccc1OC(F)F)N(CCCN2Cc(cc3)ccn3)CC2	533.3 uM	43	192	117.5	-20.50	-23.17	-21.83	Y	Y	514	1231	872.5	-9.85	-12.05	-10.95	Y	Y	Y	Y	Peptide & Nucleosome
Primary Screen Hit	ChemBridge 88821393	1-[3-(2-pyridin-4-yl-1H-imidazol-1-yl)propyl]-1H-1,2,3-benzotriazole	n1n(CCCn2ccnc2c(cc3)ccn3)c4c(cccc4)n1	533.3 uM	60888	83609	72248.5	-12.52	-11.96	-12.24	Y	Y	52834	57534	55184	-4.90	-6.49	-5.69	Y	Y	Y	Y	Peptide & Nucleosome
Primary Screen Hit	ChemBridge 74808776	(2S)-2-({[4-(2-methoxyphenyl)-3,3-dimethylpiperazin-1-yl]carbonyl}amino)-4-(methylthio)butanoic acid	N(CC1)(c2ccccc2OC)C(C)(C)CN1C(=O)N[C@@H](CCSC)C(O)=O	533.3 uM	28380	46345	37362.5	-16.78	-16.97	-16.87	Y	Y	3688	8449	6068.5	-9.55	-11.33	-10.44	Y	Y	Y	Y	Peptide & Nucleosome
Primary Screen Hit	ChemBridge 88808419	N-[rac-(3S,4S)-4-hydroxy-1,1-dioxidotetrahydro-3-thienyl]-N-methyl-4-(5-oxo-3-propyl-2,5-dihydro-1H-pyrazol-1-yl)benzamide	S(=O)(=O)(C[C@H]([C@@H]1N(C)C(=O)c(cc2)ccc2N3NC(=CC3=O)CCC)O)C1	533.3 uM	33318	38219	35768.5	-16.13	-18.06	-17.09	Y	Y	296	242	269	-9.87	-12.14	-11.01	Y	Y	Y	Y	Peptide & Nucleosome
Primary Screen Hit	ChemBridge 73181246	2-(4-morpholinyl)-6-[4-(2-phenoxyethyl)-1-piperazinyl]-4-pyrimidinamine	c1(N(CC2)CCO2)nc(N)cc(N(CC3)CCN3CCOc4ccccc4)n1	533.3 uM	68276	89430	78853	-11.55	-11.18	-11.36	Y	Y	18255	25193	21724	-8.17	-9.68	-8.93	Y	Y	Y	Y	Peptide & Nucleosome
Primary Screen Hit	ChemBridge 42780134	1-[2-methoxy-6-(2-methoxy-5-{[4-(4H-1,2,4-triazol-3-yl)-1-piperidinyl]carbonyl}phenoxy)phenyl]methanamine hydrochloride	C(=O)(c(ccc(c1Oc2cccc(OC)c2CN)OC)c1)N(CC3)CCC3c4[nH]cnn4	533.3 uM	12340	16759	14549.5	-18.88	-20.94	-19.91	Y	Y	29346	15264	22305	-7.12	-10.66	-8.89	Y	Y	Y	Y	Peptide & Nucleosome
Primary Screen Hit	ChemBridge 24488417	N-(10,11-dihydro-5H-dibenzo[b,f]azepin-3-yl)-N'-[(3S*,4S*)-4-methoxy-1-methylpyrrolidin-3-yl]urea	N1c2c(cccc2)CCc(ccc(c3)NC(=O)N[C@@H](C4)[C@@H](OC)CN4C)c13	533.3 uM	98108	114571	106339.5	-7.64	-7.80	-7.72	Y	Y	285	264	274.5	-9.87	-12.14	-11.01	Y	Y	Y	Y	Peptide & Nucleosome
