# Program:featureCounts v2.0.1; Command:"featureCounts" "-F" "SAF" "-O" "--fracOverlap" "0.2" "-p" "-T" "2" "-a" "H3K4me3.consensus_peaks.saf" "-s" "0" "-o" "H3K4me3.consensus_peaks.featureCounts.txt" "JIB04_150nM_H3K4me3_REP2.mLb.clN.sorted.bam" "JIB04_150nM_H3K4me3_REP1.mLb.clN.sorted.bam" "JIB04_500nM_H3K4me3_REP1.mLb.clN.sorted.bam" "DMSO_H3K4me3_REP1.mLb.clN.sorted.bam" "JIB04_500nM_H3K4me3_REP2.mLb.clN.sorted.bam" "DMSO_H3K4me3_REP2.mLb.clN.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	JIB04_150nM_H3K4me3_REP2.mLb.clN.sorted.bam	JIB04_150nM_H3K4me3_REP1.mLb.clN.sorted.bam	JIB04_500nM_H3K4me3_REP1.mLb.clN.sorted.bam	DMSO_H3K4me3_REP1.mLb.clN.sorted.bam	JIB04_500nM_H3K4me3_REP2.mLb.clN.sorted.bam	DMSO_H3K4me3_REP2.mLb.clN.sorted.bam
Interval_73	chr1	3623686	3626008	+	2323	789	793	867	925	770	781
Interval_74	chr1	3649021	3650398	+	1378	607	648	616	663	525	579
Interval_75	chr1	3651471	3653534	+	2064	360	369	505	391	418	348
Interval_76	chr1	3664182	3665298	+	1117	102	82	73	105	67	80
Interval_77	chr1	3666442	3667290	+	849	45	39	48	36	41	25
Interval_78	chr1	3672726	3673857	+	1132	214	200	208	229	133	218
Interval_79	chr1	3704048	3704284	+	237	2	3	9	1	6	2
Interval_80	chr1	3746025	3747923	+	1899	600	597	613	665	554	583
Interval_81	chr1	3771581	3773251	+	1671	286	296	301	317	252	271
Interval_82	chr1	3795231	3797540	+	2310	1091	1134	1146	1269	1056	1122
Interval_83	chr1	3855853	3858831	+	2979	1210	1322	1220	1412	977	1165
Interval_84	chr1	3899169	3901703	+	2535	1161	1246	1183	1349	1002	1153
Interval_85	chr1	3903339	3903575	+	237	2	4	7	3	9	4
Interval_86	chr1	3909836	3912664	+	2829	1064	1102	585	1094	418	958
Interval_87	chr1	4042737	4044680	+	1944	135	190	79	171	66	146
Interval_88	chr1	4044845	4048779	+	3935	678	728	415	774	324	613
Interval_89	chr1	4052819	4054230	+	1412	219	260	97	254	80	198
Interval_90	chr1	4058779	4059220	+	442	15	26	10	13	10	10
Interval_91	chr1	4343957	4345068	+	1112	31	37	87	43	71	26
Interval_92	chr1	5991015	5994896	+	3882	1545	1717	1587	1831	1292	1570
Interval_93	chr1	6025383	6028804	+	3422	1133	1207	1092	1284	874	1012
Interval_94	chr1	6170736	6171265	+	530	1	2	30	2	16	3
Interval_95	chr1	6198109	6200485	+	2377	1260	1299	1256	1439	1075	1137
Interval_96	chr1	6205722	6206306	+	585	12	10	33	11	22	8
Interval_97	chr1	6208740	6209757	+	1018	34	40	83	49	70	44
Interval_98	chr1	6234343	6236631	+	2289	942	933	985	1041	780	889
Interval_99	chr1	6245271	6246127	+	857	31	33	58	32	41	22
Interval_100	chr1	6259763	6261665	+	1903	323	342	463	363	409	290
Interval_101	chr1	6359633	6359895	+	263	1	4	15	2	7	4
Interval_102	chr1	6392289	6394534	+	2246	578	649	688	672	620	522
Interval_103	chr1	6440130	6440398	+	269	9	14	7	8	7	3
Interval_104	chr1	6440603	6441102	+	500	27	39	38	38	29	31
Interval_105	chr1	6446961	6448872	+	1912	144	162	218	156	169	148
Interval_106	chr1	6460379	6460633	+	255	2	6	12	4	2	2
Interval_107	chr1	6489938	6491513	+	1576	499	525	636	578	587	533
Interval_108	chr1	6496893	6498284	+	1392	125	140	215	148	195	106
Interval_109	chr1	6552610	6555277	+	2668	1105	1119	1124	1204	976	1072
Interval_110	chr1	6579298	6581468	+	2171	793	890	934	935	767	852
Interval_111	chr1	6581577	6582177	+	601	23	35	22	22	27	28
Interval_112	chr1	6599180	6604277	+	5098	2361	2470	2656	2671	2332	2305
Interval_113	chr1	6612459	6616037	+	3579	1057	1144	1130	1253	948	1067
Interval_114	chr1	6624734	6626394	+	1661	673	728	659	726	558	663
Interval_115	chr1	6700647	6702178	+	1532	1111	1126	1130	1211	1059	1058
Interval_116	chr1	6770723	6772376	+	1654	125	122	107	149	77	105
Interval_117	chr1	6783063	6786865	+	3803	1310	1362	1373	1501	1208	1268
Interval_118	chr1	7012317	7013057	+	741	13	8	55	14	42	11
Interval_119	chr1	7403748	7404041	+	294	18	21	11	19	6	19
Interval_120	chr1	7406942	7409677	+	2736	886	958	466	1023	376	824
Interval_121	chr1	7680097	7680986	+	890	17	19	64	21	64	23
Interval_122	chr1	7770596	7772337	+	1742	878	934	911	943	824	856
Interval_123	chr1	7782998	7784594	+	1597	182	180	226	239	188	190
Interval_124	chr1	7953649	7954871	+	1223	228	230	296	251	253	215
Interval_125	chr1	7960547	7962845	+	2299	885	847	947	1004	754	819
Interval_126	chr1	8317739	8318597	+	859	36	34	94	38	96	30
Interval_127	chr1	8419185	8425798	+	6614	1634	1738	1513	1946	1213	1519
Interval_128	chr1	8510301	8510905	+	605	29	34	20	22	16	18
Interval_129	chr1	8523312	8526335	+	3024	562	632	628	688	512	563
Interval_130	chr1	8702680	8703842	+	1163	224	245	355	249	272	202
Interval_131	chr1	8815705	8818654	+	2950	889	904	952	1001	774	799
Interval_132	chr1	8875415	8879863	+	4449	2119	2189	1940	2429	1610	2053
Interval_133	chr1	9004813	9005067	+	255	5	6	9	5	4	3
Interval_134	chr1	9031904	9032237	+	334	4	2	9	5	8	6
Interval_135	chr1	9063141	9063651	+	511	13	20	3	16	5	24
Interval_136	chr1	9064162	9070169	+	6008	1251	1390	866	1534	656	1181
Interval_137	chr1	9128409	9129973	+	1565	207	221	237	258	227	208
Interval_138	chr1	9180840	9181078	+	239	5	5	17	2	4	5
Interval_139	chr1	9181679	9182952	+	1274	14	10	101	18	85	20
Interval_140	chr1	9234046	9235650	+	1605	501	578	565	615	500	488
Interval_141	chr1	9292189	9294414	+	2226	543	589	571	581	484	519
Interval_142	chr1	9412917	9413230	+	314	8	17	15	18	15	10
Interval_143	chr1	9425933	9426921	+	989	48	51	58	60	36	40
Interval_144	chr1	9428146	9429729	+	1584	248	300	257	293	180	215
Interval_145	chr1	9495104	9495953	+	850	80	96	166	106	126	95
Interval_146	chr1	9511366	9511665	+	300	9	13	17	7	12	15
Interval_147	chr1	9539287	9542596	+	3310	1366	1420	1362	1496	1208	1344
Interval_148	chr1	9588266	9591759	+	3494	882	964	933	1011	809	786
Interval_149	chr1	9626457	9630644	+	4188	449	513	410	507	301	422
Interval_150	chr1	9651005	9655128	+	4124	1050	1161	1215	1162	1019	980
Interval_151	chr1	9686743	9690311	+	3569	1071	1136	889	1194	655	987
Interval_152	chr1	9716857	9718291	+	1435	265	271	274	308	191	249
Interval_153	chr1	9786747	9787356	+	610	43	51	38	39	24	22
Interval_154	chr1	9787712	9788303	+	592	28	27	37	39	21	25
Interval_155	chr1	9820220	9824983	+	4764	1804	1857	1745	2022	1552	1673
Interval_156	chr1	9847906	9852991	+	5086	1764	1852	1394	1998	1093	1599
Interval_157	chr1	9909311	9911367	+	2057	649	702	730	762	617	643
Interval_158	chr1	9942316	9944336	+	2021	888	900	928	1055	796	823
Interval_159	chr1	10032369	10034899	+	2531	879	877	923	1000	781	882
Interval_160	chr1	10209646	10211515	+	1870	793	789	889	838	837	728
Interval_161	chr1	10397994	10400175	+	2182	1108	1115	1255	1216	1066	1077
Interval_162	chr1	10429943	10431509	+	1567	562	555	704	662	546	546
Interval_163	chr1	10471389	10473699	+	2311	638	616	727	695	636	592
Interval_164	chr1	10474387	10476197	+	1811	589	607	605	641	502	567
Interval_165	chr1	10693251	10695494	+	2244	434	439	537	515	471	420
Interval_166	chr1	10721692	10722036	+	345	9	10	26	8	16	14
Interval_167	chr1	10804269	10804805	+	537	12	17	33	8	14	3
Interval_168	chr1	10939965	10940346	+	382	7	5	17	2	7	6
Interval_169	chr1	10968280	10968692	+	413	11	8	28	12	20	10
Interval_170	chr1	11011615	11013909	+	2295	1042	1105	1100	1185	947	979
Interval_171	chr1	11058525	11061390	+	2866	1629	1651	1709	1788	1424	1472
Interval_172	chr1	11098751	11100304	+	1554	863	885	887	941	774	830
Interval_173	chr1	11261540	11263347	+	1808	753	774	741	868	671	709
Interval_174	chr1	11272644	11274905	+	2262	922	941	920	1066	766	873
Interval_175	chr1	11478483	11479875	+	1393	361	409	465	456	375	392
Interval_176	chr1	11579840	11580083	+	244	5	4	11	4	13	1
Interval_177	chr1	11650073	11651007	+	935	66	60	82	61	63	51
Interval_178	chr1	11653815	11655968	+	2154	311	363	380	435	342	347
Interval_179	chr1	11663892	11665049	+	1158	142	160	194	164	151	182
Interval_180	chr1	11680174	11682095	+	1922	883	927	995	1074	848	876
Interval_181	chr1	11719219	11720031	+	813	119	137	159	143	143	112
Interval_182	chr1	11735768	11737348	+	1581	707	666	743	774	640	651
Interval_183	chr1	11762027	11762263	+	237	2	8	8	1	13	3
Interval_184	chr1	11784332	11785358	+	1027	49	49	49	45	46	28
Interval_185	chr1	11802239	11807695	+	5457	1937	2051	2013	2184	1699	1823
Interval_186	chr1	11907955	11909845	+	1891	470	465	504	577	405	470
Interval_187	chr1	11923594	11927137	+	3544	1136	1198	891	1284	805	1052
Interval_188	chr1	11934078	11935876	+	1799	575	643	514	668	418	552
Interval_189	chr1	11979559	11981458	+	1900	930	922	964	1044	820	900
Interval_190	chr1	12018961	12020531	+	1571	779	770	790	851	732	697
Interval_191	chr1	12063269	12063842	+	574	23	17	38	20	27	10
Interval_192	chr1	12166723	12167533	+	811	41	48	90	43	96	31
Interval_193	chr1	12229569	12231360	+	1792	868	850	892	888	784	819
Interval_194	chr1	12596018	12596368	+	351	1	3	17	1	16	3
Interval_195	chr1	12617867	12618819	+	953	26	27	97	19	81	26
Interval_196	chr1	12618976	12619426	+	451	4	7	19	8	22	4
Interval_197	chr1	13530568	13530804	+	237	7	7	14	7	7	9
Interval_198	chr1	13699405	13705855	+	6451	1202	1184	1471	1374	1269	1086
Interval_199	chr1	13706074	13706657	+	584	20	17	29	12	22	6
Interval_200	chr1	13708312	13708787	+	476	13	17	20	19	20	18
Interval_201	chr1	13710673	13710927	+	255	11	8	9	7	9	8
Interval_202	chr1	13712156	13713587	+	1432	111	106	97	105	71	108
Interval_203	chr1	13730056	13730669	+	614	30	21	21	17	15	20
Interval_204	chr1	13731017	13733051	+	2035	256	300	270	312	197	254
Interval_205	chr1	13733198	13733771	+	574	19	26	28	29	16	19
Interval_206	chr1	13748497	13751676	+	3180	883	971	880	943	731	852
Interval_207	chr1	13828909	13829623	+	715	79	78	107	100	91	90
Interval_208	chr1	14242419	14244098	+	1680	70	80	53	87	51	60
Interval_209	chr1	14293235	14294148	+	914	63	78	28	88	34	56
Interval_210	chr1	14296775	14298512	+	1738	122	169	62	147	59	107
Interval_211	chr1	14655737	14656821	+	1085	61	82	65	80	47	50
Interval_212	chr1	14660694	14661305	+	612	19	23	28	29	25	10
Interval_213	chr1	15384123	15385031	+	909	33	49	53	32	44	35
Interval_214	chr1	15409101	15411779	+	2679	812	791	878	839	776	750
Interval_215	chr1	15523197	15527830	+	4634	1256	1411	1342	1473	1138	1241
Interval_216	chr1	15584095	15585336	+	1242	171	191	258	201	200	159
Interval_217	chr1	15616707	15619321	+	2615	1197	1189	1288	1330	1147	1176
Interval_218	chr1	15683561	15685450	+	1890	832	915	830	963	633	766
Interval_219	chr1	15697161	15697947	+	787	47	59	59	56	50	52
Interval_220	chr1	15833035	15837722	+	4688	1307	1410	1451	1597	1252	1261
Interval_221	chr1	15844450	15845818	+	1369	70	79	91	87	69	60
Interval_222	chr1	15846433	15850955	+	4523	2077	2194	2192	2263	1814	1960
Interval_223	chr1	15949860	15950369	+	510	23	18	46	25	33	15
Interval_224	chr1	15974650	15976484	+	1835	512	536	584	608	478	537
Interval_225	chr1	16012554	16013454	+	901	39	42	48	47	42	38
Interval_226	chr1	16073071	16074333	+	1263	150	145	192	138	154	118
Interval_227	chr1	16167655	16168495	+	841	102	115	141	126	109	108
Interval_228	chr1	16206045	16207676	+	1632	322	355	348	392	339	329
Interval_229	chr1	16216098	16217819	+	1722	164	181	158	197	158	168
Interval_230	chr1	16236205	16237782	+	1578	542	534	560	548	501	503
Interval_231	chr1	16350847	16353267	+	2421	1217	1282	1203	1369	1039	1132
Interval_232	chr1	16367066	16369027	+	1962	952	959	1016	1065	801	908
Interval_233	chr1	16387115	16387754	+	640	40	22	33	30	26	23
Interval_234	chr1	16409004	16409665	+	662	28	17	38	16	13	20
Interval_235	chr1	16440247	16441849	+	1603	932	920	945	985	836	885
Interval_236	chr1	16498153	16500089	+	1937	672	744	780	751	656	636
Interval_237	chr1	16514238	16515051	+	814	71	77	86	75	66	59
Interval_238	chr1	16534212	16535760	+	1549	65	82	71	79	57	77
Interval_239	chr1	16612526	16614140	+	1615	1053	1047	1212	1101	1074	961
Interval_240	chr1	16643611	16645383	+	1773	1506	1533	1501	1606	1394	1477
Interval_241	chr1	16685130	16686266	+	1137	74	72	118	90	58	74
Interval_242	chr1	16696466	16696898	+	433	7	12	12	17	13	10
Interval_243	chr1	16707412	16708179	+	768	21	16	19	24	20	16
Interval_244	chr1	16727726	16728077	+	352	54	43	50	64	32	35
Interval_245	chr1	16888810	16890008	+	1199	187	175	243	230	167	159
Interval_246	chr1	16895022	16896096	+	1075	55	52	70	58	32	55
Interval_247	chr1	16896269	16897092	+	824	47	48	50	52	27	27
Interval_248	chr1	16903765	16905234	+	1470	143	163	179	156	145	118
Interval_249	chr1	16913318	16915125	+	1808	545	565	624	578	537	523
Interval_250	chr1	16921632	16922547	+	916	54	41	75	71	67	39
Interval_251	chr1	16922861	16923134	+	274	5	6	15	8	4	2
Interval_252	chr1	16960415	16961260	+	846	98	93	115	89	102	69
Interval_253	chr1	16980332	16980862	+	531	12	13	35	11	17	5
Interval_254	chr1	17010806	17012549	+	1744	740	762	763	783	654	661
Interval_255	chr1	17052998	17054631	+	1634	727	733	706	822	596	660
Interval_256	chr1	17119155	17119547	+	393	12	8	19	13	21	9
Interval_257	chr1	17436827	17441302	+	4476	1564	1578	1925	1767	1623	1445
Interval_258	chr1	17441449	17442033	+	585	11	9	28	9	22	10
Interval_259	chr1	17540007	17540243	+	237	4	1	10	2	9	2
Interval_260	chr1	18882966	18883421	+	456	7	3	21	5	15	5
Interval_261	chr1	18950584	18950920	+	337	2	3	15	2	9	4
Interval_262	chr1	18955678	18957372	+	1695	90	112	156	97	126	76
Interval_263	chr1	19208713	19211695	+	2983	1390	1443	1495	1578	1301	1303
Interval_264	chr1	19250510	19253269	+	2760	1608	1712	1698	1862	1441	1547
Interval_265	chr1	19310908	19313598	+	2691	1243	1233	1238	1411	1051	1167
Interval_266	chr1	19315889	19316193	+	305	16	9	17	16	15	10
Interval_267	chr1	19483781	19487111	+	3331	1363	1436	1244	1612	1044	1359
Interval_268	chr1	19596188	19598352	+	2165	1012	1070	1071	1214	894	940
Interval_269	chr1	19643631	19645772	+	2142	276	366	573	371	485	285
Interval_270	chr1	19664533	19665215	+	683	9	10	38	9	32	9
Interval_271	chr1	19798902	19800844	+	1943	380	377	495	423	428	358
Interval_272	chr1	19881983	19883630	+	1648	882	916	928	999	821	876
Interval_273	chr1	20152013	20152600	+	588	31	35	52	35	47	29
Interval_274	chr1	20485921	20487083	+	1163	39	50	93	56	82	38
Interval_275	chr1	20507135	20508798	+	1664	918	949	983	1029	844	889
Interval_276	chr1	20633185	20634627	+	1443	598	593	610	608	561	567
Interval_277	chr1	20660201	20662377	+	2177	1236	1311	1315	1424	1098	1266
Interval_278	chr1	20696280	20697350	+	1071	247	261	307	259	244	257
Interval_279	chr1	20717494	20718444	+	951	63	59	87	68	70	65
Interval_280	chr1	20731377	20733232	+	1856	587	568	661	608	529	520
Interval_281	chr1	20784744	20788050	+	3307	1719	1802	1736	1855	1528	1665
Interval_282	chr1	21174384	21177645	+	3262	987	1006	1091	1072	909	918
Interval_283	chr1	21289738	21290830	+	1093	67	74	128	75	88	60
Interval_284	chr1	21293299	21294436	+	1138	127	142	114	148	74	119
Interval_285	chr1	21334185	21335331	+	1147	83	106	96	88	78	58
Interval_286	chr1	21344548	21346745	+	2198	837	844	881	940	787	743
Interval_287	chr1	21397612	21398500	+	889	84	82	148	93	114	75
Interval_288	chr1	21439514	21441625	+	2112	602	609	600	726	493	587
Interval_289	chr1	21488889	21489343	+	455	32	23	32	27	25	36
Interval_290	chr1	21622168	21623137	+	970	40	36	64	41	53	26
Interval_291	chr1	21650949	21652411	+	1463	83	69	190	88	181	71
Interval_292	chr1	21659173	21659877	+	705	33	34	40	31	40	25
Interval_293	chr1	21669090	21670159	+	1070	36	58	120	51	100	30
Interval_294	chr1	21780353	21783918	+	3566	1678	1746	1779	1954	1477	1650
Interval_295	chr1	21814126	21815138	+	1013	131	123	209	169	176	136
Interval_296	chr1	21884160	21884605	+	446	11	12	30	16	22	19
Interval_297	chr1	21936729	21938044	+	1316	96	106	142	109	101	89
Interval_298	chr1	22024359	22026793	+	2435	1054	1122	1077	1214	948	1047
Interval_299	chr1	22052107	22054190	+	2084	849	857	808	981	728	836
Interval_300	chr1	22142193	22143542	+	1350	42	38	100	36	75	35
Interval_301	chr1	22365285	22365659	+	375	3	2	21	3	11	1
Interval_302	chr1	22428776	22429311	+	536	25	17	27	17	23	17
Interval_303	chr1	22451377	22453041	+	1665	669	698	747	777	649	634
Interval_304	chr1	22800150	22800412	+	263	6	4	10	8	2	4
Interval_305	chr1	23018874	23021335	+	2462	1165	1237	1232	1355	1063	1165
Interval_306	chr1	23167484	23169109	+	1626	361	361	442	433	342	331
Interval_307	chr1	23177389	23178182	+	794	45	60	99	62	90	50
Interval_308	chr1	23341177	23345279	+	4103	1265	1247	1297	1410	1087	1165
Interval_309	chr1	23367396	23370018	+	2623	1620	1642	1651	1844	1305	1534
Interval_310	chr1	23436922	23437158	+	237	7	4	8	7	8	8
Interval_311	chr1	23483125	23485296	+	2172	329	343	425	381	321	298
Interval_312	chr1	23524958	23525421	+	464	10	10	24	9	9	9
Interval_313	chr1	23526511	23531892	+	5382	1879	2006	2174	2193	1884	1859
Interval_314	chr1	23554040	23555791	+	1752	325	340	325	375	279	340
Interval_315	chr1	23556785	23560097	+	3313	1664	1704	1660	1883	1374	1560
Interval_316	chr1	23567732	23568724	+	993	95	103	132	94	101	75
Interval_317	chr1	23576807	23577278	+	472	43	45	21	44	18	28
Interval_318	chr1	23577453	23577910	+	458	26	38	21	40	19	20
Interval_319	chr1	23618935	23620331	+	1397	321	327	279	315	179	317
Interval_320	chr1	23626949	23628153	+	1205	118	135	91	143	58	111
Interval_321	chr1	23691379	23693430	+	2052	1048	1068	1191	1201	1006	992
Interval_322	chr1	23742770	23745272	+	2503	1511	1582	1630	1679	1390	1471
Interval_323	chr1	23772783	23773171	+	389	15	19	16	19	20	16
Interval_324	chr1	23777369	23779743	+	2375	1054	1028	1006	1122	871	1007
Interval_325	chr1	23790564	23792479	+	1916	624	710	710	723	578	632
Interval_326	chr1	23799530	23801762	+	2233	701	736	778	773	677	678
Interval_327	chr1	23824535	23826297	+	1763	740	799	809	886	649	729
Interval_328	chr1	23838099	23838437	+	339	16	8	24	22	12	19
Interval_329	chr1	23838757	23839412	+	656	19	22	29	25	15	19
Interval_330	chr1	23866835	23869351	+	2517	938	1013	946	1015	784	842
Interval_331	chr1	23888103	23888659	+	557	19	13	28	26	27	15
Interval_332	chr1	23909093	23909918	+	826	43	51	50	49	32	34
Interval_333	chr1	23910719	23913771	+	3053	761	792	537	879	417	703
Interval_334	chr1	23958480	23961484	+	3005	1147	1184	1350	1341	1080	1109
Interval_335	chr1	23977951	23981030	+	3080	1129	1129	1248	1269	1017	1054
Interval_336	chr1	24142564	24143201	+	638	34	43	78	40	60	36
Interval_337	chr1	24150204	24154105	+	3902	733	843	759	927	592	760
Interval_338	chr1	24184318	24184701	+	384	11	11	23	7	9	7
Interval_339	chr1	24185247	24188227	+	2981	783	825	867	870	699	738
Interval_340	chr1	24189447	24190976	+	1530	37	27	80	36	42	22
Interval_341	chr1	24199389	24199902	+	514	54	48	73	65	49	50
Interval_342	chr1	24200181	24200660	+	480	14	16	28	18	14	16
Interval_343	chr1	24321687	24323020	+	1334	134	145	225	145	200	136
Interval_344	chr1	24391795	24392076	+	282	6	12	22	12	10	6
Interval_345	chr1	24412893	24414126	+	1234	536	581	566	612	507	485
Interval_346	chr1	24414859	24417532	+	2674	852	917	947	957	782	786
Interval_347	chr1	24501707	24503845	+	2139	604	616	674	687	567	570
Interval_348	chr1	24535015	24535571	+	557	42	66	49	56	38	36
Interval_349	chr1	24555640	24556529	+	890	50	44	77	47	52	27
Interval_350	chr1	24641888	24644845	+	2958	1684	1670	1731	1911	1487	1564
Interval_351	chr1	24696983	24697375	+	393	10	6	23	5	10	8
Interval_352	chr1	24743664	24744517	+	854	42	48	48	70	35	40
Interval_353	chr1	24744721	24750293	+	5573	1766	1830	1821	2008	1473	1693
Interval_354	chr1	24847800	24848900	+	1101	138	156	228	152	196	130
Interval_355	chr1	24926526	24931092	+	4567	1747	1913	1931	2078	1617	1700
Interval_356	chr1	24931997	24932715	+	719	27	29	40	35	29	27
Interval_357	chr1	25231580	25233680	+	2101	1067	1149	1187	1315	1026	1047
Interval_358	chr1	25239226	25240920	+	1695	295	307	326	385	259	288
Interval_359	chr1	25245873	25248241	+	2369	1694	1703	1764	1901	1548	1632
Interval_360	chr1	25266338	25268353	+	2016	210	248	262	315	207	227
